delta_0,delta_elev,d_tag_loo,v5_median,v5_rmse,elevation_rho_r2
-5,-10,54.897438049316406,83.51698303222656,118.7779769897461,0.005474329643132436
-5,-5,54.15858459472656,88.55743408203125,119.29097747802734,0.0028973432276681033
-5,-3,54.13576889038086,90.24186706542969,119.28389739990234,0.0020924608107366627
-5,-1,54.66765213012695,91.15689086914062,118.75663757324219,0.0014176162794715674
-5,0,54.6210823059082,92.0885238647461,118.81299591064453,0.0011291257255305887
-5,1,54.57451248168945,92.98714447021484,118.87700653076172,0.0008733302044766633
-5,3,54.93772888183594,94.17320251464844,118.57312774658203,0.0004600067955397025
-5,5,54.87673568725586,95.93990325927734,118.72026824951172,0.00017795045263691023
-5,10,53.93672180175781,101.4854736328125,120.01453399658203,4.811035876262082e-05
-3,-10,52.897438049316406,83.51698303222656,118.7779769897461,0.005474329643132436
-3,-5,52.15858459472656,88.55743408203125,119.29096984863281,0.0028973431989275378
-3,-3,52.13576889038086,90.24186706542969,119.28389739990234,0.0020924608107366627
-3,-1,52.66765213012695,91.15689086914062,118.75662994384766,0.0014176162385491908
-3,0,52.6210823059082,92.0885238647461,118.81299591064453,0.0011291256888967816
-3,1,52.57451248168945,92.98714447021484,118.87700653076172,0.0008733301721614017
-3,3,52.93772888183594,94.17320251464844,118.57312774658203,0.00046000678374424897
-3,5,52.87673568725586,95.93990325927734,118.72026824951172,0.00017795045263691023
-3,10,51.93672180175781,101.4854736328125,120.01453399658203,4.8110367577347546e-05
-1,-10,50.897438049316406,83.51698303222656,118.77798461914062,0.005474329604294059
-1,-5,50.15858459472656,88.55743408203125,119.29096984863281,0.0028973431700494157
-1,-3,50.13576889038086,90.24186706542969,119.28389739990234,0.0020924608107366627
-1,-1,50.66765213012695,91.15689086914062,118.75662994384766,0.0014176162385491908
-1,0,50.6210823059082,92.0885238647461,118.81299591064453,0.0011291256888967816
-1,1,50.57451248168945,92.98714447021484,118.87700653076172,0.0008733301721614017
-1,3,50.93772888183594,94.17320251464844,118.57312774658203,0.00046000678374424897
-1,5,50.87673568725586,95.93990325927734,118.72026824951172,0.00017795045263691023
-1,10,49.93672180175781,101.4854736328125,120.01453399658203,4.8110367577347546e-05
0,-10,49.897438049316406,83.51698303222656,118.77798461914062,0.005474329565283043
0,-5,49.15858459472656,88.55743408203125,119.29096984863281,0.0028973431700494157
0,-3,49.13576889038086,90.24186706542969,119.28389739990234,0.0020924608107366627
0,-1,49.66765213012695,91.15689086914062,118.75662994384766,0.0014176162385491908
0,0,49.6210823059082,92.0885238647461,118.81299591064453,0.0011291256888967816
0,1,49.57451248168945,92.98714447021484,118.87700653076172,0.0008733301721614017
0,3,49.93772888183594,94.17320251464844,118.57312774658203,0.00046000678374424897
0,5,49.87673568725586,95.93990325927734,118.72026824951172,0.00017795045263691023
0,10,48.93672180175781,101.4854736328125,120.01453399658203,4.8110367577347546e-05
1,-10,48.897438049316406,83.51698303222656,118.77798461914062,0.005474329565283043
1,-5,48.15858459472656,88.55743408203125,119.29096984863281,0.0028973431700494157
1,-3,48.13576889038086,90.24186706542969,119.28389739990234,0.0020924608107366627
1,-1,48.66765213012695,91.15689086914062,118.75662994384766,0.0014176162385491908
1,0,48.6210823059082,92.0885238647461,118.81299591064453,0.0011291256888967816
1,1,48.57451248168945,92.98714447021484,118.87700653076172,0.0008733301721614017
1,3,48.93772888183594,94.17320251464844,118.57312774658203,0.00046000678374424897
1,5,48.87673568725586,95.93990325927734,118.72026824951172,0.00017795045263691023
1,10,47.93672180175781,101.4854736328125,120.01453399658203,4.8110367577347546e-05
3,-10,46.897438049316406,83.51698303222656,118.77798461914062,0.005474329565283043
3,-5,46.15858459472656,88.55741119384766,119.29097747802734,0.0028973431700494157
3,-3,46.13576889038086,90.24186706542969,119.28389739990234,0.0020924608107366627
3,-1,46.66765213012695,91.15689086914062,118.75662994384766,0.0014176162385491908
3,0,46.6210823059082,92.0885238647461,118.81299591064453,0.0011291256888967816
3,1,46.57451248168945,92.98714447021484,118.87700653076172,0.0008733300979522074
3,3,46.93772888183594,94.17320251464844,118.57312774658203,0.000460006756733522
3,5,46.87673568725586,95.93990325927734,118.72026824951172,0.00017795045263691023
3,10,45.93672180175781,101.4854736328125,120.01453399658203,4.8110367577347546e-05
5,-10,44.897438049316406,83.51698303222656,118.77798461914062,0.005474329565283043
5,-5,44.15858459472656,88.55741119384766,119.29096984863281,0.002897342556826943
5,-3,44.13576889038086,90.24186706542969,119.28389739990234,0.002092461336796525
5,-1,44.66765213012695,91.15689086914062,118.75662994384766,0.0014176161443084645
5,0,44.6210823059082,92.0885238647461,118.81299591064453,0.0011291256046515041
5,1,44.57451248168945,92.98714447021484,118.87700653076172,0.0008733300979522074
5,3,44.93772888183594,94.17320251464844,118.57312774658203,0.00046000690989289605
5,5,44.87673568725586,95.93990325927734,118.72026824951172,0.00017795035734646802
5,10,43.93672180175781,101.4854736328125,120.01453399658203,4.8110367577347546e-05
