criterion,delta_0,delta_elev,d_tag_loo,v5_median,v5_rmse,elevation_rho_r2
min_v5_median,-5,-10,54.897438049316406,83.51698303222656,118.7779769897461,0.005474329643132436
min_abs_elevation_rho_r2,-5,10,53.93672180175781,101.4854736328125,120.01453399658203,4.811035876262082e-05
