sigma_mm,metric,mean,std,p05,p95
1.0,sim3_scale,1.0097807322860088,0.00019036509783453205,1.0094667434345632,1.0100886768697666
1.0,dtag,49.1369580078125,0.4414368295408826,48.513641357421875,49.84501190185547
1.0,v4_median,70.31627147674561,0.9609361177146905,68.94368591308594,72.03651657104493
1.0,v5_median,92.69179139251709,1.171401810609164,90.85142974853515,94.61151428222657
1.0,vicon_median,90.81082123260498,1.3106182926525003,88.52321586608886,92.80035285949707
1.0,v4_rmse,102.53331432342529,0.49061644194952087,101.73789825439454,103.3373031616211
1.0,v5_rmse,119.30551054229737,0.503340049220409,118.5377410888672,120.07934761047363
1.0,vicon_rmse,119.17995298461913,0.6376769389055452,118.15680656433105,120.20591468811035
2.0,sim3_scale,1.0097908647986118,0.0003809294955765564,1.009150633751371,1.0104188082795338
2.0,dtag,49.1351533416748,0.975445847795654,47.41847801208496,50.747657775878906
2.0,v4_median,71.25011315765381,1.5580214169569582,69.12381019592286,74.10518264770508
2.0,v5_median,92.69821759490966,2.336323137167884,89.02727355957032,96.78853034973145
2.0,vicon_median,90.10311878204345,2.8218237695751234,85.3250518798828,94.71021919250488
2.0,v4_rmse,102.57930267028809,1.1014368222934403,100.7905174255371,104.48728675842285
2.0,v5_rmse,119.3464299987793,1.1017442065558314,117.56380195617676,121.2781421661377
2.0,vicon_rmse,119.2140648223877,1.3991776161201708,116.8943359375,121.57920837402344
3.0,sim3_scale,1.0097968329891975,0.0005652235980368837,1.0088564596097653,1.0107312893235925
3.0,dtag,49.036238572692874,1.4049877828699688,46.59805564880371,51.24307403564453
3.0,v4_median,72.24109133148194,1.9969735378044935,69.35238151550293,75.59865875244141
3.0,v5_median,93.02651861877442,3.447396993205983,87.96119842529296,99.19341812133788
3.0,vicon_median,89.78924253692627,4.057582866520472,83.26290588378906,96.53953170776367
3.0,v4_rmse,102.73147850494385,1.6915962028241727,100.10176239013671,105.718994140625
3.0,v5_rmse,119.50723676147462,1.6772295079896384,116.9690559387207,122.52404441833497
3.0,vicon_rmse,119.39397572021484,2.1439891881547157,116.0366870880127,123.0296573638916
5.0,sim3_scale,1.0097946425276316,0.0009554526462082589,1.008254874102382,1.0113612214869467
5.0,dtag,49.1550908203125,2.075769069168509,45.649034118652345,52.54389915466309
5.0,v4_median,73.6871171585083,2.612118594931832,69.83314666748046,78.38374481201171
5.0,v5_median,93.39293026428223,5.498248408223939,84.65041618347168,102.73283233642579
5.0,vicon_median,89.21202823944091,5.812039537526186,80.02098541259765,99.44651107788086
5.0,v4_rmse,102.83562121124268,2.6349364478517834,98.70101127624511,107.54903907775879
5.0,v5_rmse,119.58346494293212,2.6008133803373665,115.56827926635742,124.2324333190918
5.0,vicon_rmse,119.53434301605225,3.3050796419316577,114.34900588989258,125.33376235961914
8.0,sim3_scale,1.0097933082526387,0.0015413889876641608,1.0072430599176363,1.0123428306756368
8.0,dtag,49.05039720153808,3.0917349824941462,43.30171165466309,53.45937423706055
8.0,v4_median,75.69978533325195,4.450188700904896,69.93632316589355,84.05041885375977
8.0,v5_median,94.81465896606446,8.010012429177477,82.9516445159912,108.88931770324707
8.0,vicon_median,90.60431640014649,8.540383332299779,77.57886848449706,105.76661567687988
8.0,v4_rmse,103.50697232971191,4.134931720282542,97.60349464416504,111.00892028808595
8.0,v5_rmse,120.18413723144532,4.017233808158835,114.36988792419433,127.55512924194336
8.0,vicon_rmse,120.28814051971436,5.272616373144862,112.2108600616455,129.69799880981446
