metric,anchor_contribution_fraction,tag_contribution_fraction,both_std
sim3_scale,1.0,0.0,0.0005764817313219557
dtag,0.0,1.0,1.3848021873383944
v4_median,0.0,1.0,1.944732768883297
v5_median,0.0,1.0,3.4580059317598897
vicon_median,0.18621017131123652,0.8137898286887636,3.968658713100456
