task,status,error,elapsed_s,mean_cpu_percent,max_cpu_percent,mean_gpu_percent,max_gpu_percent,peak_vram_mb,workers,physical_cores,logical_cores
A1,OK,,0.3806481249994249,10.7,18.0,nan,nan,nan,6,6,12
A2,OK,,1.331937964001554,14.049999999999999,16.8,nan,nan,nan,6,6,12
A3,OK,,0.41894517799664754,16.4,23.8,nan,nan,nan,6,6,12
A4,OK,,0.464235187995655,13.825,15.9,nan,nan,nan,6,6,12
A5,OK,,0.2614167110004928,12.4,13.8,nan,nan,nan,6,6,12
A6,OK,,0.005159649001143407,20.4,20.4,nan,nan,nan,6,6,12
TOTAL,OK,,29.77598884100007,14.629166666666668,23.8,nan,nan,nan,6,6,12
