delta_z_mm,sim3_scale,d_tag_loo,valley_distance,v5_median
-5,1.0097822709713298,49.82568359375,11.310672735320463,96.1081771850586
-3,1.0097822709713298,49.864837646484375,11.3078976855855,94.32913970947266
-1,1.0097822709713298,48.965553283691406,11.371803865685047,93.82775115966797
0,1.0097822709713298,49.028297424316406,11.36733362726178,92.88646697998047
1,1.0097822709713298,49.090431213378906,11.36290855484618,91.94942474365234
3,1.0097822709713298,49.05488586425781,11.365439834775868,90.29924011230469
5,1.0097822709713298,48.97368621826172,11.37122433443268,88.72196197509766
