direction,magnitude_mm,delta_x,delta_y,delta_z,sim3_scale,rigid_rmse,d_tag_loo,v4_median,v5_median,vicon_median,v4_minus_v5,vicon_rank,vicon_worst
baseline,0.0,0.0,0.0,0.0,1.0097822709713298,62.99191612196596,49.028297424316406,69.8902587890625,92.88642120361328,91.40422058105469,-22.99616241455078,2,False
+x,1.0,1.0,0.0,0.0,1.0097822709713298,62.99191612196596,48.625091552734375,69.783203125,92.92324829101562,92.03117370605469,-23.140045166015625,2,False
+x,2.0,2.0,0.0,0.0,1.0097822709713298,62.99191612196596,49.128173828125,70.6180419921875,91.73651885986328,91.24897003173828,-21.11847686767578,2,False
+x,3.0,3.0,0.0,0.0,1.0097822709713298,62.99191612196596,49.648193359375,71.47808074951172,90.53056335449219,90.44160461425781,-19.05248260498047,2,False
+x,5.0,5.0,0.0,0.0,1.0097822709713298,62.99191612196596,50.621185302734375,73.1524887084961,89.13298034667969,88.9336166381836,-15.980491638183594,2,False
+x,8.0,8.0,0.0,0.0,1.0097822709713298,62.99191612196596,51.234588623046875,74.86988830566406,88.92475128173828,87.98455047607422,-14.054862976074219,2,False
+x,10.0,10.0,0.0,0.0,1.0097822709713298,62.99191612196596,52.587493896484375,76.47473907470703,87.47430419921875,85.89688873291016,-10.999565124511719,2,False
-x,1.0,-1.0,0.0,0.0,1.0097822709713298,62.99191612196596,49.515968322753906,70.1055679321289,92.4240493774414,90.64693450927734,-22.3184814453125,2,False
-x,2.0,-2.0,0.0,0.0,1.0097822709713298,62.99191612196596,48.817626953125,70.75749969482422,93.64205932617188,91.73162078857422,-22.884559631347656,2,False
-x,3.0,-3.0,0.0,0.0,1.0097822709713298,62.99191612196596,48.119140625,72.16593933105469,94.8710708618164,92.81859588623047,-22.70513153076172,2,False
-x,5.0,-5.0,0.0,0.0,1.0097822709713298,62.99191612196596,46.7213134765625,74.98997497558594,97.36148834228516,94.87310791015625,-22.37151336669922,2,False
-x,8.0,-8.0,0.0,0.0,1.0097822709713298,62.99191612196596,46.190162658691406,77.95691680908203,98.50702667236328,95.50325775146484,-20.55010986328125,2,False
-x,10.0,-10.0,0.0,0.0,1.0097822709713298,62.99191612196596,45.91108703613281,79.88204193115234,99.19121551513672,95.83558654785156,-19.309173583984375,2,False
+y,1.0,0.0,1.0,0.0,1.0097822709713298,62.99191612196596,49.090431213378906,69.15459442138672,91.94942474365234,91.30767822265625,-22.794830322265625,2,False
+y,2.0,0.0,2.0,0.0,1.0097822709713298,62.99191612196596,49.151954650878906,69.19571685791016,91.01667785644531,91.212158203125,-21.820960998535156,3,True
+y,3.0,0.0,3.0,0.0,1.0097822709713298,62.99191612196596,49.05488586425781,70.10978698730469,90.29923248291016,91.36283111572266,-20.18944549560547,3,True
+y,5.0,0.0,5.0,0.0,1.0097822709713298,62.99191612196596,48.97368621826172,71.98133850097656,88.72188568115234,91.48905181884766,-16.74054718017578,3,True
+y,8.0,0.0,8.0,0.0,1.0097822713571656,62.991916226146266,49.507911682128906,75.02729797363281,85.51842498779297,90.65928649902344,-10.491127014160156,3,True
+y,10.0,0.0,10.0,0.0,1.0097822713571656,62.991916226146266,49.621681213378906,76.97959899902344,83.72553253173828,90.48285675048828,-6.745933532714844,3,True
-y,1.0,0.0,-1.0,0.0,1.0097822709713298,62.99191612196596,48.965553283691406,70.62928771972656,93.82775115966797,91.50160217285156,-23.198463439941406,2,False
-y,2.0,0.0,-2.0,0.0,1.0097822709713298,62.99191612196596,49.2681884765625,71.755859375,94.27677154541016,91.03150177001953,-22.520912170410156,2,False
-y,3.0,0.0,-3.0,0.0,1.0097822709713298,62.99191612196596,49.864837646484375,73.20476531982422,94.32917785644531,90.10564422607422,-21.124412536621094,2,False
-y,5.0,0.0,-5.0,0.0,1.0097822709713298,62.99191612196596,49.82568359375,74.52477264404297,96.10807800292969,90.16614532470703,-21.58330535888672,2,False
-y,8.0,0.0,-8.0,0.0,1.0097822709713298,62.99191612196596,48.508888244628906,73.7725830078125,100.52992248535156,92.21208190917969,-26.757339477539062,2,False
-y,10.0,0.0,-10.0,0.0,1.0097822709713298,62.99191612196596,48.372779846191406,75.10626220703125,102.4783935546875,92.42369079589844,-27.37213134765625,2,False
+z,1.0,0.0,0.0,1.0,1.0097822709713298,62.99191612196596,49.498046875,70.8954086303711,92.23902893066406,90.67469024658203,-21.34362030029297,2,False
+z,2.0,0.0,0.0,2.0,1.0097822709713298,62.99191612196596,48.781982421875,70.6941146850586,93.27228546142578,91.78697967529297,-22.578170776367188,2,False
+z,3.0,0.0,0.0,3.0,1.0097822709713298,62.99191612196596,48.065673828125,70.51972961425781,94.31729125976562,92.90203857421875,-23.797561645507812,2,False
+z,5.0,0.0,0.0,5.0,1.0097822709713298,62.99191612196596,47.24492645263672,71.4761962890625,95.3975601196289,94.18167114257812,-23.921363830566406,2,False
+z,8.0,0.0,0.0,8.0,1.0097822709713298,62.99191612196596,46.59233856201172,72.86212921142578,96.10791778564453,95.02590942382812,-23.24578857421875,2,False
+z,10.0,0.0,0.0,10.0,1.0097822709713298,62.99191612196596,47.92375946044922,74.50088500976562,94.13685607910156,93.12288665771484,-19.635971069335938,2,False
-z,1.0,0.0,0.0,-1.0,1.0097822709713298,62.99191612196596,48.991302490234375,69.33989715576172,92.87928771972656,91.4617919921875,-23.539390563964844,2,False
-z,2.0,0.0,0.0,-2.0,1.0097822709713298,62.99191612196596,49.857025146484375,69.75145721435547,91.67411041259766,90.11775970458984,-21.922653198242188,2,False
-z,3.0,0.0,0.0,-3.0,1.0097822709713298,62.99191612196596,50.45073699951172,69.90282440185547,90.85313415527344,89.19752502441406,-20.95030975341797,2,False
-z,5.0,0.0,0.0,-5.0,1.0097822709713298,62.99191612196596,49.62871551513672,68.56096649169922,91.9112777709961,90.47179412841797,-23.350311279296875,2,False
-z,8.0,0.0,0.0,-8.0,1.0097822709713298,62.99191612196596,49.78564453125,69.43333435058594,92.72077178955078,90.2283706665039,-23.287437438964844,2,False
-z,10.0,0.0,0.0,-10.0,1.0097822709713298,62.99191612196596,50.280029296875,70.20960998535156,92.92131042480469,89.46194458007812,-22.711700439453125,2,False
