anchor_source,delay_mode,tag_method,eval_set,n_sessions,frames_solved_total,frames_input_total,err_3d_median_mm,err_3d_p75_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,err_x_median_abs_mm,err_y_vertical_median_abs_mm,err_z_median_abs_mm,d3_std_median_mm,residual_rms_median_mm,note
OptiTrack truth anchors,raw_zero_delay,T4,all8,24,28818,28818,307.28771067831303,351.46014757249395,453.44791445260194,311.32624381853066,76.66825222634344,301.5880638532343,47.88387456732917,301.5880638532343,64.33526840393277,76.49438894378528,134.48895635391017,
OptiTrack truth anchors,autopos_v4io_delay_vector,T4,all8,24,28818,28818,254.89442202285954,292.7184232483237,394.57139638447234,252.17399275308873,72.19540906803189,239.95003942925732,36.89964645231872,239.95003942925732,41.97854711915873,72.54676128364693,118.42642913249409,
OptiTrack truth anchors,inter_anchor_delaycal,T4,all8,24,28818,28818,64.09048082988876,102.95808259859669,128.3843598352106,77.67090824756843,40.34614213574806,44.455447152428476,24.6879586197379,44.455447152428476,16.33376583597115,59.78332300936975,91.30708111727935,
AutoPos v4-io production-output,autopos_estimated_delays,production-output,all8,24,,,73.96289045329976,,282.12949495641834,139.55059600371152,42.29173475748748,65.3185860074235,,,,,,production-output AutoPos line; included as the requested system headline comparator
