model,n,r2,sse,coefficients_json,p_values_json,partial_r2_added_last,partial_corr_added_last,partial_r2_delta_z_given_theta,partial_corr_delta_z_given_theta,partial_r2_theta_given_delta_z,partial_corr_theta_given_delta_z,rows_json
delta_z_i_mm,192,0.008140132493569596,2101432.304237805,"{""delta_z_i_mm"": 0.33355715567011646, ""intercept"": 22.67241034733148}","{""delta_z_i_mm"": 0.2133014705252531, ""intercept"": 0.0031865543059689384}",,,,,,,
theta_deg,192,0.0009904097474222606,2116580.2690232643,"{""intercept"": 22.797596456195247, ""theta_deg"": -0.1259056933302663}","{""intercept"": 0.00315109026397516, ""theta_deg"": 0.6647738265828645}",,,,,,,
delta_z_i_mm+theta_deg,192,0.008153299913536416,2101404.406706522,"{""delta_z_i_mm"": 0.3291737909740501, ""intercept"": 22.687595725418436, ""theta_deg"": -0.015272665424905352}","{""delta_z_i_mm"": 0.2441590881382975, ""intercept"": 0.0032713657959863836, ""theta_deg"": 0.9601028360171145}",,,0.007169991395481193,0.08467580171147757,1.3275484166852986e-05,-0.0036435537826480804,
layer_means,,,,,,,,,,,,"[{""layer"": ""bottom"", ""mean_anchor_z_mm"": -13.54282198353433, ""mean_rho_mm"": 12.961356799670916, ""median_rho_mm"": -13.219439167635976, ""n"": 96, ""rms_rho_mm"": 118.07749083358999}, {""layer"": ""top"", ""mean_anchor_z_mm"": -1383.0743016255583, ""mean_rho_mm"": 32.383463894992275, ""median_rho_mm"": 12.789499453466028, ""n"": 96, ""rms_rho_mm"": 95.68360148075809}]"
