number,value,params_batch_size,params_conv_channels,params_dropout,params_lr,params_lstm_hidden_size,params_num_conv_layers,params_window_size,state,user_attrs_epochs_run,user_attrs_val_capture
0,0.04477205637608565,512,64,0.25940979973879436,0.0002145895567580146,256,4,20,COMPLETE,30.0,R04
1,0.06910634247892258,512,128,0.28533425423210734,0.0005422056724582793,256,2,20,COMPLETE,15.0,R06
2,0.06230548166205114,512,64,0.24672435726361727,0.000869257898709322,128,2,20,COMPLETE,21.0,R08
3,0.11214841276193864,256,128,0.1522270042877778,0.00013481856584161497,128,3,10,COMPLETE,23.0,R03
4,0.06204674991654074,512,256,0.36279293382664834,0.00011526967820110274,256,3,20,COMPLETE,27.0,R01
5,0.08443460067387516,256,128,0.1628789790002927,0.0001497800139489275,128,2,20,COMPLETE,25.0,R02
6,0.1232024440365544,256,128,0.2909845506200268,0.00021091473080127042,256,2,20,COMPLETE,18.0,R07
7,0.06299103874913436,256,128,0.4060633694691952,0.00015443979713056693,256,2,20,COMPLETE,30.0,R08
8,0.18684042774652282,512,64,0.41387745327523917,0.00045149424252894407,256,3,20,PRUNED,,
9,0.09899453019251694,512,128,0.2091237872825761,0.0002148586203378607,128,4,20,PRUNED,,
10,0.11530500355701823,512,64,0.10457861322923542,0.00034715107797862884,256,4,30,PRUNED,,
11,0.2047032347520571,512,256,0.32555173783717456,0.00011644352862571785,256,3,10,PRUNED,,
12,0.15349241882138148,512,256,0.49235917861931316,0.0002488456178849811,256,4,30,PRUNED,,
13,0.09837603029890858,512,256,0.34383339996087237,0.0001045557547015012,256,4,30,PRUNED,,
14,0.0793450437547655,512,256,0.37551263244701977,0.00029483232270088064,256,3,20,PRUNED,,
15,0.14181447136730646,512,64,0.4716771027487012,0.00017076265693990872,256,4,10,PRUNED,,
16,0.03816392192312284,512,256,0.22901570685805717,0.00010141690751322999,256,3,20,COMPLETE,27.0,R12
17,0.0956343062233517,512,64,0.2409729425377142,0.00040220512298294126,256,3,20,PRUNED,,
18,0.05566972317909147,256,256,0.17628837576864959,0.0006048590285606938,128,4,30,COMPLETE,22.0,R08
19,0.15045803913478178,512,64,0.27381967040218314,0.00018799214027099843,256,3,10,PRUNED,,
20,0.1448267173364489,512,256,0.23749486789140817,0.0002535794722697942,256,4,20,PRUNED,,
21,0.07221921258218862,256,256,0.18527260511429205,0.0007058642132334376,128,4,30,PRUNED,,
22,0.04062474386216051,256,256,0.12625904742318178,0.0009958884970905934,128,4,30,COMPLETE,15.0,R12
23,0.05311255308745607,256,256,0.10762093666314135,0.0009909344874158082,128,4,30,COMPLETE,20.0,R04
24,0.09012284598307216,256,256,0.13399795704616638,0.0003481453624785565,128,4,30,PRUNED,,
25,0.09041027289728606,256,64,0.2135476660176165,0.0007497254139466501,128,4,30,PRUNED,,
26,0.0743592273837567,256,256,0.2020480330063186,0.0004961319547405133,128,3,20,PRUNED,,
27,0.121026399703476,512,64,0.31242410300012396,0.00013532689495444422,256,4,10,PRUNED,,
28,0.12050644626708804,256,256,0.13289769175731886,0.0002799401433766228,128,4,20,PRUNED,,
29,0.0515273172122337,512,64,0.25883139368812164,0.0006059068371943006,256,3,30,COMPLETE,27.0,R08
30,0.21824498771603035,512,256,0.29502806951019905,0.00010026289641643953,256,2,20,PRUNED,,
31,0.12361056868426319,512,64,0.2653986840296229,0.0006125381939882541,256,3,30,PRUNED,,
32,0.25076710241128797,512,64,0.23516257650563166,0.0009990664463177068,256,3,30,PRUNED,,
33,0.12442617929750045,512,64,0.2636316086368393,0.0008212446710304114,256,3,30,PRUNED,,
34,0.10673092350551948,512,64,0.22407938968503308,0.0006901359061076587,256,3,30,PRUNED,,
