pair,std_raw_mm,mad_raw_mm,n,involves_G
A-B,22.320159626733886,15.0,2000,False
A-C,29.554215889419556,20.0,2000,False
A-D,15.442424096656278,10.0,2000,False
A-E,29.80208920966163,21.0,2000,False
A-F,23.666393897255453,16.0,2000,False
A-G,27.927571043006605,19.5,2000,True
A-H,27.304418019281893,19.0,2000,False
B-C,21.299871977857908,14.0,2000,False
B-D,25.60344890923924,18.0,2000,False
B-E,24.767778613123834,17.0,2000,False
B-F,19.842309180556793,14.0,2000,False
B-G,21.322522270547378,14.0,2000,True
B-H,29.559992821172905,20.0,2000,False
C-D,21.949490513834448,16.0,2000,False
C-E,26.435172274199072,17.0,2000,False
C-F,18.013865595058668,13.0,2000,False
C-G,25.142513259149197,18.0,2000,True
C-H,25.12975280893386,17.0,2000,False
D-E,35.86032382958332,25.0,2000,False
D-F,23.75974550586036,16.0,2000,False
D-G,20.359753375931753,14.0,2000,True
D-H,31.021297816324584,22.0,2000,False
E-F,21.780608007872424,15.0,2000,False
E-G,17.58056762249059,12.0,2000,True
E-H,22.145352696966388,15.0,2000,False
F-G,16.299611948596734,11.0,2000,True
F-H,25.55514493632071,18.0,2000,False
G-H,21.683834718380577,15.0,2000,True
