eval_id,label,source_kind,version,tag_method,eval_set,component,role,signed_mean_bias_mm,signed_std_mm,p95_abs_error_mm,horizontal_2d_rmse_mm,horizontal_2d_p50_mm,horizontal_2d_p95_mm,axis_convention,note
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,X,OptiTrack horizontal X,22.559278672011345,31.844923867723857,71.09033928631277,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,Y_vertical,OptiTrack vertical Y,-19.67807758355031,131.821968949153,273.99948913310544,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,Z,OptiTrack horizontal Z,-6.33266872134831,30.870581993173126,54.08351432021603,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,horizontal_XZ_2d,secondary 2D horizontal summary; not the primary localization metric,,,,49.33714208426951,42.291734757487475,72.50964086309857,OptiTrack frame; horizontal plane is X/Z,2D is shown only as secondary; 3D and vertical Y remain explicit
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,X,OptiTrack horizontal X,28.50180490421937,34.780299230265705,89.35327759977106,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,Y_vertical,OptiTrack vertical Y,-39.86233746215269,83.48728960157707,164.20482769420397,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,Z,OptiTrack horizontal Z,-3.872907492333356,34.049112071581845,54.6246594573237,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,horizontal_XZ_2d,secondary 2D horizontal summary; not the primary localization metric,,,,55.656578592983074,45.510369542781035,102.49595048340448,OptiTrack frame; horizontal plane is X/Z,2D is shown only as secondary; 3D and vertical Y remain explicit
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,X,OptiTrack horizontal X,20.952748819487624,31.800201776350526,74.7801373381109,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,Y_vertical,OptiTrack vertical Y,-24.532827926969233,96.88380988014814,172.71693370131052,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,Z,OptiTrack horizontal Z,-6.169681813666677,29.211515243715727,51.39163129304042,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,horizontal_XZ_2d,secondary 2D horizontal summary; not the primary localization metric,,,,47.5810664581803,37.500633348878765,75.31778359982076,OptiTrack frame; horizontal plane is X/Z,2D is shown only as secondary; 3D and vertical Y remain explicit
