eval_set,outcome,n,slope_mm_per_m,intercept_mm,r2,p_value,slope_ci95_low_mm_per_m,slope_ci95_high_mm_per_m,verdict
all8,err_3d_mm,24,166.77275022693274,-1.7083784188835267,0.2740800244687518,0.00865384254902001,46.76712513145793,286.77837532240756,positive significant
all8,radial_component_mm,24,254.46919811709336,-104.96673324374187,0.5210378821842649,6.843754018129883e-05,146.59390585606667,362.34449037812004,positive significant
