layout,tag_method,kind,keep_k,drop_category,dropped_lower_count,dropped_upper_count,drop_sets,turn_center_rms_3d_mm_median,turn_center_rms_3d_mm_p95_over_drop_sets,circle_thickness_rms_mm_median,radius_mm_median,d3_std_mm_median,d3_std_mm_p95_over_drop_sets,z_std_mm_median,residual_rms_median_mm
v1-old,T1,roto,7,lower_heavy,1,0,4,19.187744903921367,21.46887656237868,111.94715264398424,612.2610990915139,,,,
v1-old,T1,roto,7,upper_heavy,0,1,4,17.954664896964236,21.445393031180803,109.63485409698282,602.1304976218455,,,,
v1-old,T1,roto,6,balanced,1,1,16,24.322944296199665,27.428005618208488,133.31271017357676,616.7474612400911,,,,
v1-old,T1,roto,6,lower_heavy,2,0,6,30.115720149853374,34.18217130678799,131.58292814876603,604.9828546588799,,,,
v1-old,T1,roto,6,upper_heavy,0,2,6,20.99841599485893,26.20251333362797,124.30387212673372,599.7366227874834,,,,
v1-old,T1,roto,5,lower_heavy,2,1,24,32.94925320207189,48.83291486148898,160.60802631953462,623.807270885832,,,,
v1-old,T1,roto,5,lower_heavy,3,0,4,44.0601792572655,60.82790144259191,162.19719219701335,581.1153153510612,,,,
v1-old,T1,roto,5,upper_heavy,0,3,4,22.292137154136316,25.38721160677346,126.19413723203465,595.5574350740717,,,,
v1-old,T1,roto,5,upper_heavy,1,2,24,30.836769735812275,46.26775586123964,152.20612522003262,620.9440508028472,,,,
v1-old,T1,roto,4,balanced,2,2,36,54.217194478234376,348.80958709655897,200.50589112449558,644.3440025762834,,,,
v1-old,T1,roto,4,lower_heavy,3,1,16,59.039752129266304,85.28280789761172,199.01180509135827,620.4529613734444,,,,
v1-old,T1,roto,4,lower_heavy,4,0,1,456.08521035181786,456.08521035181786,301.9900611651248,930.6405386245116,,,,
v1-old,T1,roto,4,upper_heavy,0,4,1,15.128994774415354,15.128994774415354,132.18217905527143,584.6323015216852,,,,
v1-old,T1,roto,4,upper_heavy,1,3,16,37.84740535264278,54.53398640247762,174.47469449748655,631.4012715050819,,,,
v1-old,T1,static,7,lower_heavy,1,0,4,,,,,75.83458518981934,77.20437374114991,49.81949710845947,90.52703666687012
v1-old,T1,static,7,upper_heavy,0,1,4,,,,,61.15741157531738,72.0394639968872,45.32997417449951,89.8840913772583
v1-old,T1,static,6,balanced,1,1,16,,,,,79.13515663146973,104.20608425140382,50.69827938079834,80.76008224487305
v1-old,T1,static,6,lower_heavy,2,0,6,,,,,90.25101280212402,98.25145626068115,65.23343086242676,81.66280460357666
v1-old,T1,static,6,upper_heavy,0,2,6,,,,,71.12566375732422,79.79432106018066,45.11167621612549,78.62301635742188
v1-old,T1,static,5,lower_heavy,2,1,24,,,,,103.42834663391113,143.1926162719726,69.03317642211914,64.49600791931152
v1-old,T1,static,5,lower_heavy,3,0,4,,,,,116.52327919006348,130.92548809051513,75.54376220703125,61.92817497253418
v1-old,T1,static,5,upper_heavy,0,3,4,,,,,72.64940643310547,78.36820735931397,37.794450759887695,75.3656587600708
v1-old,T1,static,5,upper_heavy,1,2,24,,,,,77.78024864196777,107.26733760833737,52.213011741638184,66.82222843170166
v1-old,T1,static,4,balanced,2,2,36,,,,,113.64895248413086,164.32206535339355,67.57179546356201,40.25197744369507
v1-old,T1,static,4,lower_heavy,3,1,16,,,,,125.99477195739746,176.7571201324463,85.94619941711426,36.8640513420105
v1-old,T1,static,4,lower_heavy,4,0,1,,,,,139.9360122680664,139.9360122680664,80.85947036743164,24.71824026107788
v1-old,T1,static,4,upper_heavy,0,4,1,,,,,45.79916954040527,45.79916954040527,27.52556610107422,45.80778694152832
v1-old,T1,static,4,upper_heavy,1,3,16,,,,,68.42523193359375,103.50313472747801,38.62272262573242,33.78754949569702
v1-old,T2,roto,7,lower_heavy,1,0,4,19.341269946800907,21.703157139070903,111.94212862734426,612.3271969948191,,,,
v1-old,T2,roto,7,upper_heavy,0,1,4,17.834410562352623,21.926195970461457,109.64775767827695,601.7660088569813,,,,
v1-old,T2,roto,6,balanced,1,1,16,24.430558220480766,27.6863315041845,133.098827466582,616.7492502690401,,,,
v1-old,T2,roto,6,lower_heavy,2,0,6,30.229818402408,34.83587427920812,131.5855784118571,605.0736002757583,,,,
v1-old,T2,roto,6,upper_heavy,0,2,6,21.160913626080706,26.393455195182376,124.51958475578508,599.1820685565247,,,,
v1-old,T2,roto,5,lower_heavy,2,1,24,33.6918357039514,49.78792461564084,160.59254718125337,624.0924121495319,,,,
v1-old,T2,roto,5,lower_heavy,3,0,4,44.16564172548712,60.12985388293718,162.0626221439493,581.4030913409721,,,,
v1-old,T2,roto,5,upper_heavy,0,3,4,22.506562777354688,25.626845705952814,126.17519301845019,595.5835601179375,,,,
v1-old,T2,roto,5,upper_heavy,1,2,24,31.07142962470593,46.73922885360174,152.0081723940737,620.884673547919,,,,
v1-old,T2,roto,4,balanced,2,2,36,57.293954455339744,349.02805045630544,200.8194422457772,647.1460203598169,,,,
v1-old,T2,roto,4,lower_heavy,3,1,16,58.893512952387226,85.3296583744123,198.06771475521901,619.9788650480187,,,,
v1-old,T2,roto,4,lower_heavy,4,0,1,447.8868799648601,447.8868799648601,294.385312894517,925.9946204669787,,,,
v1-old,T2,roto,4,upper_heavy,0,4,1,15.201570110726678,15.201570110726678,132.20821070461386,584.6512555848703,,,,
v1-old,T2,roto,4,upper_heavy,1,3,16,37.66483685792788,54.9301450278091,175.59353072132802,631.3199073972514,,,,
v1-old,T2,static,7,lower_heavy,1,0,4,,,,,75.84855079650879,78.62957572937012,49.71661949157715,90.59489059448242
v1-old,T2,static,7,upper_heavy,0,1,4,,,,,61.519951820373535,74.52370271682739,45.369465827941895,89.91598224639893
v1-old,T2,static,6,balanced,1,1,16,,,,,79.03528022766113,102.79729652404787,50.950660705566406,80.74184226989746
