a,b,master,median_raw_mm,mean_raw_mm,std_raw_mm,mad_raw_mm,n,q10,q50
A,B,A,2898.0,2898.587,21.40982979408789,15.0,1000,100.0,100.0
A,B,B,2892.0,2891.739,22.69418218189169,16.0,1000,100.0,100.0
A,C,A,3713.0,3714.713,28.407809395211228,20.0,1000,100.0,100.0
A,C,C,3722.0,3723.773,29.994852261049175,20.0,1000,100.0,100.0
A,D,A,2427.0,2427.817,14.248948857496186,10.0,1000,100.0,100.0
A,D,D,2431.0,2430.966,16.406706678185845,11.0,1000,100.0,100.0
A,E,A,1546.0,1546.791,25.15336977446586,18.5,1000,100.0,100.0
A,E,E,1554.0,1557.047,33.043617714646004,24.0,1000,100.0,100.0
A,F,A,3325.0,3324.793,23.82073841379769,15.5,1000,100.0,100.0
A,F,F,3319.0,3320.793,23.352119228722625,15.0,1000,100.0,100.0
A,G,A,4017.0,4015.033,29.38055697443692,21.0,1000,100.0,100.0
A,G,G,4023.5,4020.218,26.15351759290691,18.5,1000,100.0,100.0
A,H,A,2679.0,2679.731,26.08538069659111,17.0,1000,100.0,100.0
A,H,H,2696.0,2696.552,25.879471459886254,17.0,1000,100.0,100.0
B,C,B,2402.0,2403.006,21.217920825664468,15.0,1000,100.0,100.0
B,C,C,2411.0,2411.922,20.44103108338085,13.0,1000,100.0,100.0
B,D,B,3666.5,3667.14,25.49110033317926,18.5,1000,100.0,100.0
B,D,D,3673.0,3673.243,25.36318675250062,18.0,1000,100.0,100.0
B,E,B,3127.0,3128.083,22.497383030993777,16.0,1000,100.0,100.0
B,E,E,3143.0,3143.533,24.533585302759874,17.0,1000,100.0,100.0
B,F,B,1621.0,1620.324,19.445646226267563,13.0,1000,100.0,100.0
B,F,F,1618.0,1618.726,20.209337973851074,15.0,1000,100.0,100.0
B,G,B,2743.0,2742.935,18.603786600470986,12.0,1000,100.0,100.0
B,G,G,2748.0,2748.991,23.35162129740097,15.0,1000,100.0,100.0
B,H,B,3896.0,3898.154,30.86053558603064,21.0,1000,100.0,100.0
B,H,H,3905.0,3904.968,27.80017672292451,18.0,1000,100.0,100.0
C,D,C,2892.0,2891.673,22.62042781988797,16.0,1000,100.0,100.0
C,D,D,2883.5,2883.382,20.4439240369853,14.5,1000,100.0,100.0
C,E,C,3893.0,3891.993,23.197436756506065,17.0,1000,100.0,100.0
C,E,E,3878.0,3877.555,27.493323877950267,18.0,1000,100.0,100.0
C,F,C,2681.0,2680.882,15.968502405331204,11.0,1000,100.0,100.0
C,F,F,2663.0,2663.446,15.561852565014057,11.0,1000,100.0,100.0
C,G,C,1621.5,1620.382,24.643851066653436,19.5,1000,100.0,100.0
C,G,G,1615.0,1614.238,25.27275347222916,18.0,1000,100.0,100.0
C,H,C,3342.0,3342.122,25.581194528667346,17.0,1000,100.0,100.0
C,H,H,3351.0,3350.53,23.955395237001756,17.0,1000,100.0,100.0
D,E,D,2791.0,2790.958,34.15225633267325,24.0,1000,100.0,100.0
D,E,E,2794.0,2792.817,37.48475180146768,26.0,1000,100.0,100.0
D,F,D,3862.0,3863.658,22.259166797221,16.0,1000,100.0,100.0
D,F,F,3840.0,3840.597,19.182663151021817,13.0,1000,100.0,100.0
D,G,D,3164.0,3164.213,20.958121907124163,14.0,1000,100.0,100.0
D,G,G,3157.0,3158.734,19.369729745931302,13.0,1000,100.0,100.0
D,H,D,1662.0,1663.928,31.23120561560496,22.0,1000,100.0,100.0
D,H,H,1657.0,1657.885,30.527687673892256,21.0,1000,100.0,100.0
E,F,E,2772.0,2772.065,20.668768056489874,14.0,1000,100.0,100.0
E,F,F,2752.0,2753.878,18.88167454527362,12.0,1000,100.0,100.0
E,G,E,3714.0,3714.698,16.09583399118785,11.0,1000,100.0,100.0
E,G,G,3709.0,3708.613,18.462234022054076,12.0,1000,100.0,100.0
E,H,E,2337.0,2337.466,24.183293317405656,17.0,1000,100.0,100.0
E,H,H,2330.0,2330.091,19.216398959976484,13.0,1000,100.0,100.0
F,G,F,2372.0,2372.03,15.001738304348397,10.0,1000,100.0,100.0
F,G,G,2376.0,2376.104,17.270247405449798,12.0,1000,100.0,100.0
F,H,F,3654.0,3654.268,26.745270338613025,20.0,1000,100.0,100.0
F,H,H,3663.0,3664.152,23.293335430450345,16.0,1000,100.0,100.0
G,H,G,2880.0,2879.311,22.556308786369822,15.0,1000,100.0,100.0
G,H,H,2880.0,2880.014,20.78012554383689,15.0,1000,100.0,100.0
