ID,anchor_id,anchor,n_ranges,median_range_mm,geom_range_mm,d_anchor_mm,d_tag_mm,rho_mm,theta_deg,theta_abs_deg,layer,anchor_layout_z_mm,delta_z_i_mm,delta_y_vicon_vertical_mm,tag_truth_source,source_v5_layout,opti_anchor_truth_source
ID01,0,A,1199,1514.0,1421.1246307671513,99.63407516744715,49.621032516254864,-56.37973845085332,-2.8090906253753696,2.8090906253753696,bottom,0.0,-3.440323989956749,3.440623502440701,reconstructed_from_relabelled_balls,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID01,1,B,1199,1768.0,1605.2834907031897,113.68825825925543,49.621032516254864,-0.5927814787000258,-2.4866148252889078,2.4866148252889078,bottom,0.0,-12.494147436912742,12.461488333325178,reconstructed_from_relabelled_balls,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID01,2,C,1197,2177.0,2103.4410575863144,127.33774979143755,49.621032516254864,-103.39983989400682,-1.8974614243131658,1.8974614243131658,bottom,0.0,-14.86214460516902,15.954061408605071,reconstructed_from_relabelled_balls,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID01,3,D,1198,2111.0,1914.7849185195519,124.5107442518789,49.621032516254864,22.083304712314366,-3.707574802539355,3.707574802539355,bottom,-54.17128793413731,-20.016980444000758,20.464701947608063,reconstructed_from_relabelled_balls,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID01,4,E,1201,2314.0,1923.3652977637214,109.62530494698989,49.621032516254864,231.38836477303383,-46.53730119779499,46.53730119779499,top,-1326.3747130504792,66.98787928657134,-67.48968469509055,reconstructed_from_relabelled_balls,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID01,5,F,1192,2407.5,2165.0100421770294,111.36188584987471,49.621032516254864,81.50703945684103,-41.96601200378013,41.96601200378013,top,-1378.0729960177282,-0.8078551770443028,-1.5888359752382257,reconstructed_from_relabelled_balls,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID01,6,G,1141,2769.0,2616.3093056532653,100.04169098589358,49.621032516254864,3.0279708445862994,-33.488727442971495,33.488727442971495,top,-1373.9617889643982,15.372162129036496,-15.681251693183867,reconstructed_from_relabelled_balls,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID01,7,H,1179,2472.0,2399.5576032354747,109.67861862456729,49.621032516254864,-86.85725437629691,-39.41428039671328,39.41428039671328,top,-1453.8877084696278,-30.738589762521542,32.4388971715332,reconstructed_from_relabelled_balls,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID02,0,A,1200,1874.0,1754.9505125402834,99.63407516744715,49.621032516254864,-30.205620223985413,29.041123751859775,29.041123751859775,bottom,0.0,-3.440323989956749,3.440623502440701,motive_iantenna,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID02,1,B,1201,1830.0,1706.630096548309,113.68825825925543,49.621032516254864,-39.93938732381928,29.94587011589314,29.94587011589314,bottom,0.0,-12.494147436912742,12.461488333325178,motive_iantenna,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID02,2,C,1196,2245.0,2189.7471381171654,127.33774979143755,49.621032516254864,-121.7059204248578,22.895321719286752,22.895321719286752,bottom,0.0,-14.86214460516902,15.954061408605071,motive_iantenna,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID02,3,D,1201,2450.0,2155.076474994957,124.5107442518789,49.621032516254864,120.79174823690906,21.726170760409886,21.726170760409886,bottom,-54.17128793413731,-20.016980444000758,20.464701947608063,motive_iantenna,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID02,4,E,1201,1699.0,1508.4605255666581,109.62530494698989,49.621032516254864,31.293136970097116,-18.332453657447463,18.332453657447463,top,-1326.3747130504792,66.98787928657134,-67.48968469509055,motive_iantenna,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID02,5,F,1195,1736.0,1571.650353376394,111.36188584987471,49.621032516254864,3.3667282574765025,-19.559065304595883,19.559065304595883,top,-1378.0729960177282,-0.8078551770443028,-1.5888359752382257,motive_iantenna,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID02,6,G,1174,2269.0,2166.259768075443,100.04169098589358,49.621032516254864,-46.92249157759138,-13.944882889616972,13.944882889616972,top,-1373.9617889643982,15.372162129036496,-15.681251693183867,motive_iantenna,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
ID02,7,H,1187,2199.0,2043.8498631021441,109.67861862456729,49.621032516254864,-4.1495142429662835,-17.129187856695747,17.129187856695747,top,-1453.8877084696278,-30.738589762521542,32.4388971715332,motive_iantenna,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/opti_captures/full
