pair,a,b,n_ab,n_ba,median_ab_mm,median_ba_mm,sym_median_mm,anti_signed_mm,anti_abs_mm,half_difference_definition,half_sum_definition
A-B,A,B,1000,1000,2898.0,2892.0,2895.0,3.0,3.0,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
A-C,A,C,1000,1000,3713.0,3722.0,3717.5,-4.5,4.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
A-D,A,D,1000,1000,2427.0,2431.0,2429.0,-2.0,2.0,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
A-E,A,E,1000,1000,1546.0,1554.0,1550.0,-4.0,4.0,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
A-F,A,F,1000,1000,3325.0,3319.0,3322.0,3.0,3.0,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
A-G,A,G,1000,1000,4017.0,4023.5,4020.25,-3.25,3.25,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
A-H,A,H,1000,1000,2679.0,2696.0,2687.5,-8.5,8.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
B-C,B,C,1000,1000,2402.0,2411.0,2406.5,-4.5,4.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
B-D,B,D,1000,1000,3666.5,3673.0,3669.75,-3.25,3.25,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
B-E,B,E,1000,1000,3127.0,3143.0,3135.0,-8.0,8.0,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
B-F,B,F,1000,1000,1621.0,1618.0,1619.5,1.5,1.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
B-G,B,G,1000,1000,2743.0,2748.0,2745.5,-2.5,2.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
B-H,B,H,1000,1000,3896.0,3905.0,3900.5,-4.5,4.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
C-D,C,D,1000,1000,2892.0,2883.5,2887.75,4.25,4.25,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
C-E,C,E,1000,1000,3893.0,3878.0,3885.5,7.5,7.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
C-F,C,F,1000,1000,2681.0,2663.0,2672.0,9.0,9.0,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
C-G,C,G,1000,1000,1621.5,1615.0,1618.25,3.25,3.25,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
C-H,C,H,1000,1000,3342.0,3351.0,3346.5,-4.5,4.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
D-E,D,E,1000,1000,2791.0,2794.0,2792.5,-1.5,1.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
D-F,D,F,1000,1000,3862.0,3840.0,3851.0,11.0,11.0,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
D-G,D,G,1000,1000,3164.0,3157.0,3160.5,3.5,3.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
D-H,D,H,1000,1000,1662.0,1657.0,1659.5,2.5,2.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
E-F,E,F,1000,1000,2772.0,2752.0,2762.0,10.0,10.0,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
E-G,E,G,1000,1000,3714.0,3709.0,3711.5,2.5,2.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
E-H,E,H,1000,1000,2337.0,2330.0,2333.5,3.5,3.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
F-G,F,G,1000,1000,2372.0,2376.0,2374.0,-2.0,2.0,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
F-H,F,H,1000,1000,3654.0,3663.0,3658.5,-4.5,4.5,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
G-H,G,H,1000,1000,2880.0,2880.0,2880.0,0.0,0.0,0.5*(median_a_to_b - median_b_to_a),0.5*(median_a_to_b + median_b_to_a)
