keep_k,drop_category,drop_sets,accuracy_median_mm,accuracy_iqr_low_mm,accuracy_iqr_high_mm,horizontal_median_mm,vertical_median_mm
7,lower_heavy,4,93.45596290086388,83.40682423457189,105.9987218123658,42.75153198068038,71.27987576399761
7,upper_heavy,4,81.18777564470254,68.99825907704468,90.25856317108854,51.880018486281315,52.31929972798582
6,balanced,16,101.88702896678546,92.16626932378301,121.85122630669261,58.82076651069947,68.47698978426037
6,lower_heavy,6,131.70875897942196,125.60361815333488,136.27521995791878,56.910209309794226,101.67505172943305
6,upper_heavy,6,88.52661502450822,74.25380370756696,98.99955893803428,51.84732818015492,52.39743874865017
5,lower_heavy,28,131.1487181993744,120.6064883480348,148.08556993187284,71.41825324945347,96.34456519959045
5,upper_heavy,28,121.08016428274108,100.12262144349721,137.21733133953416,68.37564108597991,77.80166556212133
4,balanced,36,175.26736133409008,125.26718851656466,224.79630674430075,100.48625144450301,103.31283904471653
4,lower_heavy,17,165.04651977266047,150.09239913152152,191.1319781290294,80.88628613958973,128.54066320534156
4,upper_heavy,17,172.61085938621744,123.4993586730979,194.37456499977253,84.40833375512277,103.43902117806279
