ID,tag_truth_source,tag_truth_corrected,tag_truth_permutation,motive_iantenna_x_mm,motive_iantenna_y_vertical_mm,motive_iantenna_z_mm,corrected_iantenna_x_mm,corrected_iantenna_y_vertical_mm,corrected_iantenna_z_mm,tag_truth_shift_from_motive_mm,motive_icenter_to_iantenna_mm,corrected_icenter_to_iantenna_mm,fingerprint_as_is_max_abs_dev_mm,fingerprint_corrected_max_abs_dev_mm,consensus_reference_id,clean_consensus_n,clean_fingerprint_max_spread_mm
ID01,reconstructed_from_relabelled_balls,True,"0,1,4,2,3",-503.61191,144.63268,-381.98318,-542.215344349341,182.54280058407934,-383.3240609304319,54.12208743140742,39.00085560859404,38.610478139193695,29.051378695780997,1.5155498742221383,ID02,22,3.010748996927397
ID02,motive_iantenna,False,"0,1,2,3,4",-543.22998,1105.589,-259.92136,-543.22998,1105.589,-259.92136,0.0,39.000122947388746,39.000122947388746,0.6572220380767959,0.6572220380767959,ID02,22,3.010748996927397
ID03,motive_iantenna,False,"0,1,2,3,4",-554.00287,1625.5614500000001,-256.2951,-554.00287,1625.5614500000001,-256.2951,0.0,39.000263136843294,39.000263136843294,0.6213212809211015,0.6213212809211015,ID02,22,3.010748996927397
ID04,motive_iantenna,False,"0,1,2,3,4",-321.178815,182.16379,479.93381999999997,-321.178815,182.16379,479.93381999999997,0.0,38.996169084587684,38.996169084587684,1.6855830977794,1.6855830977794,ID02,22,3.010748996927397
ID05,reconstructed_from_relabelled_balls,True,"3,4,2,0,1",-186.852955,1103.67405,472.76739499999996,-184.9818897969324,1103.5866165595767,473.70402893394925,2.0942332073721013,38.99969783349276,39.11598862185195,5.490229164285438,0.8401003929094628,ID02,22,3.010748996927397
ID06,motive_iantenna,False,"0,1,2,3,4",-193.231255,1684.95255,476.52297999999996,-193.231255,1684.95255,476.52297999999996,0.0,38.999630390424464,38.999630390424464,1.4652634113752043,1.4652634113752043,ID02,22,3.010748996927397
ID07,motive_iantenna,False,"0,1,2,3,4",352.14755,211.565355,53.795866000000004,352.14755,211.565355,53.795866000000004,0.0,38.99986551885492,38.99986551885492,3.010748996927397,3.010748996927397,ID02,22,3.010748996927397
ID08,motive_iantenna,False,"0,1,2,3,4",391.90054,1132.2804,-71.53192899999999,391.90054,1132.2804,-71.53192899999999,0.0,38.999908968900876,38.999908968900876,0.8379427491692439,0.8379427491692439,ID02,22,3.010748996927397
ID09,motive_iantenna,False,"0,1,2,3,4",408.80994,1568.1853500000002,-62.425788499999996,408.80994,1568.1853500000002,-62.425788499999996,0.0,38.999926274443354,38.999926274443354,1.1233421057233244,1.1233421057233244,ID02,22,3.010748996927397
ID10,motive_iantenna,False,"0,1,2,3,4",65.499245,238.64973,-938.19342,65.499245,238.64973,-938.19342,0.0,38.99671803762247,38.99671803762247,1.700334281718746,1.700334281718746,ID02,22,3.010748996927397
ID11,motive_iantenna,False,"0,1,2,3,4",-63.9057945,1133.4998500000002,-956.9902950000001,-63.9057945,1133.4998500000002,-956.9902950000001,0.0,38.99963260394449,38.99963260394449,0.9635964986374148,0.9635964986374148,ID02,22,3.010748996927397
ID12,motive_iantenna,False,"0,1,2,3,4",-43.6886845,1590.1300500000002,-956.35754,-43.6886845,1590.1300500000002,-956.35754,0.0,39.00039359855601,39.00039359855601,0.42445279783336787,0.42445279783336787,ID02,22,3.010748996927397
ID13,motive_iantenna,False,"0,1,2,3,4",-189.628155,1139.0976,-197.96616,-189.628155,1139.0976,-197.96616,0.0,38.999619538822714,38.999619538822714,0.48139953753840103,0.48139953753840103,ID02,22,3.010748996927397
ID14,motive_iantenna,False,"0,1,2,3,4",-198.69532,1132.6278,-194.690585,-198.69532,1132.6278,-194.690585,0.0,39.00014042017311,39.00014042017311,1.0167156256319245,1.0167156256319245,ID02,22,3.010748996927397
ID15,motive_iantenna,False,"0,1,2,3,4",-200.165335,1132.2551,-184.312585,-200.165335,1132.2551,-184.312585,0.0,39.00014638203543,39.00014638203543,1.2066814206861238,1.2066814206861238,ID02,22,3.010748996927397
ID16,motive_iantenna,False,"0,1,2,3,4",-184.85465499999998,1122.0572,-185.78015499999998,-184.85465499999998,1122.0572,-185.78015499999998,0.0,39.00003336877962,39.00003336877962,0.6908759326306466,0.6908759326306466,ID02,22,3.010748996927397
ID17,motive_iantenna,False,"0,1,2,3,4",-180.39839999999998,209.45865500000002,-328.203235,-180.39839999999998,209.45865500000002,-328.203235,0.0,38.99964679373841,38.99964679373841,1.145788046074479,1.145788046074479,ID02,22,3.010748996927397
ID18,motive_iantenna,False,"0,1,2,3,4",-295.4243,206.90585,-224.00141000000002,-295.4243,206.90585,-224.00141000000002,0.0,38.99688764046079,38.99688764046079,1.8878688194487978,1.8878688194487978,ID02,22,3.010748996927397
ID19,motive_iantenna,False,"0,1,2,3,4",-188.530555,205.96057000000002,-114.135095,-188.530555,205.96057000000002,-114.135095,0.0,38.99992013985737,38.99992013985737,2.6772087824857564,2.6772087824857564,ID02,22,3.010748996927397
ID20,motive_iantenna,False,"0,1,2,3,4",-80.19599149999999,202.56013000000002,-220.692665,-80.19599149999999,202.56013000000002,-220.692665,0.0,38.999235149351435,38.999235149351435,1.4963705153659816,1.4963705153659816,ID02,22,3.010748996927397
ID21,motive_iantenna,False,"0,1,2,3,4",-212.053465,1598.6443,-226.93474500000002,-212.053465,1598.6443,-226.93474500000002,0.0,39.000496121206055,39.000496121206055,1.110395865917397,1.110395865917397,ID02,22,3.010748996927397
ID22,motive_iantenna,False,"0,1,2,3,4",-232.83767,1599.3211999999999,-235.17408,-232.83767,1599.3211999999999,-235.17408,0.0,39.000307085336125,39.000307085336125,0.8995698510122168,0.8995698510122168,ID02,22,3.010748996927397
ID23,motive_iantenna,False,"0,1,2,3,4",-230.87733,1599.6642499999998,-223.24148,-230.87733,1599.6642499999998,-223.24148,0.0,39.00009268041098,39.00009268041098,2.6953588961350192,2.6953588961350192,ID02,22,3.010748996927397
ID24,motive_iantenna,False,"0,1,2,3,4",-218.202475,1599.5815,-226.071175,-218.202475,1599.5815,-226.071175,0.0,38.9998856402313,38.9998856402313,1.4256908686659244,1.4256908686659244,ID02,22,3.010748996927397
