layout,tag_method,kind,keep_k,keep_set,dropped_set,dropped_lower_count,dropped_upper_count,drop_category,drops_G,drops_H,drops_FGH_count,accuracy_median_mm,horizontal_median_mm,vertical_median_mm
v4-io,T4,static,7,ABCDEFG,H,0,1,upper_heavy,0,1,1,94.80458913235776,54.802467861755034,69.89291648831899
v4-io,T4,static,7,ABCDEFH,G,0,1,upper_heavy,1,0,1,73.63233010540628,58.99085791178045,45.984768302122234
v4-io,T4,static,7,ABCDEGH,F,0,1,upper_heavy,0,0,1,55.09604599195986,35.34818494003996,43.47527980512689
v4-io,T4,static,7,ABCDFGH,E,0,1,upper_heavy,0,0,0,88.7432211839988,48.9575691108076,58.65383115384941
v4-io,T4,static,7,ABCEFGH,D,1,0,lower_heavy,0,0,0,116.72428218809048,51.43542714251412,99.17425396267788
v4-io,T4,static,7,ABDEFGH,C,1,0,lower_heavy,0,0,0,102.42353502045758,40.33972954792077,70.42462096746601
v4-io,T4,static,7,ACDEFGH,B,1,0,lower_heavy,0,0,0,84.48839078127017,40.477720042109645,72.1351305605292
v4-io,T4,static,7,BCDEFGH,A,1,0,lower_heavy,0,0,0,80.16212459447704,45.02534391925113,62.72813877121905
v4-io,T4,static,6,ABCDEF,GH,0,2,upper_heavy,1,1,2,99.19573785644872,67.6461014682326,59.887829732279585
v4-io,T4,static,6,ABCDEG,FH,0,2,upper_heavy,0,1,2,78.64220786622542,47.49849757548886,42.22542351981883
v4-io,T4,static,6,ABCDEH,FG,0,2,upper_heavy,1,0,2,72.79100232134748,44.909850928493015,54.97335992723106
v4-io,T4,static,6,ABCDFG,EH,0,2,upper_heavy,0,1,1,120.53849362366307,56.196158784820966,89.93825903141123
v4-io,T4,static,6,ABCDFH,EG,0,2,upper_heavy,1,0,1,98.41102218279102,59.89203454787926,48.20699652750416
v4-io,T4,static,6,ABCDGH,EF,0,2,upper_heavy,0,0,1,69.235605422249,41.95009191073706,49.821517570069275
v4-io,T4,static,6,ABCEFG,DH,1,1,balanced,0,1,1,117.54816123710268,78.61295839972993,81.72748721129403
v4-io,T4,static,6,ABCEFH,DG,1,1,balanced,1,0,1,102.30318737219127,69.11052428839363,75.19983884669968
v4-io,T4,static,6,ABCEGH,DF,1,1,balanced,0,0,1,148.3901011746417,58.14592644673955,113.00165842981505
v4-io,T4,static,6,ABCFGH,DE,1,1,balanced,0,0,0,101.47087056137966,54.498018511392104,83.88416079088745
v4-io,T4,static,6,ABDEFG,CH,1,1,balanced,0,1,1,90.27272212557232,59.49560657465939,54.18730147049155
v4-io,T4,static,6,ABDEFH,CG,1,1,balanced,1,0,1,100.86489118941783,52.57335369910997,52.48931792547374
v4-io,T4,static,6,ABDEGH,CF,1,1,balanced,0,0,1,91.3159164224226,48.21971094297161,49.06119233385857
v4-io,T4,static,6,ABDFGH,CE,1,1,balanced,0,0,0,134.76042151546244,65.05064438061703,65.97083668467533
