eval_set,ID,location,height,facing,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,distance_from_anchor_centroid_mm,distance_from_anchor_centroid_m,radial_component_mm,radial_outward,tangential_magnitude_mm,radial_unit_x,radial_unit_y_vertical,radial_unit_z
all8,ID01,edge,low,ABEF,-542.215344349341,182.54280058407932,-383.3240609304319,64.45573898521002,-127.65854149468568,-7.334547268107542,143.1958137946358,889.8367413746068,0.8898367413746069,79.52322078201475,True,119.08441730454473,-0.4812065454702074,-0.8547164914386671,-0.19467917161166504
all8,ID02,edge,mid,ABEF,-543.22998,1105.589,-259.92136,17.312492197070128,-50.95511125903499,26.30010447910757,59.89859134492416,461.6346339824702,0.4616346339824702,-36.87076902406738,False,47.20580087955395,-0.9297610456504407,0.3519841231868452,-0.10794246159592126
all8,ID03,edge,high,ABEF,-554.00287,1625.56145,-256.2951,-19.63480504629581,359.06523904786536,-3.5353360746949534,359.61906242977136,813.3092827400903,0.8133092827400903,312.1200928150548,True,178.62507585439772,-0.540978443671109,0.8391156062743406,-0.05680953080276756
all8,ID04,edge,low,BCGF,-321.178815,182.16379,479.93382,71.59096341883253,-289.96314578063686,8.707636728137231,298.79711325852645,1047.8906733259494,1.0478906733259494,202.14086256329523,True,220.04269261621863,-0.1976911716777564,-0.7261608176259704,0.6584896867722819
all8,ID05,edge,mid,BCGF,-184.9818897969324,1103.586616559577,473.7040289339493,22.97203422718613,-14.131270719780789,49.45217635644673,56.32872193721293,705.9514108073572,0.7059514108073572,42.37850801919356,True,37.107775103703,-0.10051939653435546,0.22733247073058246,0.9686154028673598
all8,ID06,edge,high,BCGF,-193.231255,1684.95255,476.52298,8.40749656177465,173.49749788885129,12.927594492525031,174.18148716637876,1013.9317064581626,1.0139317064581626,135.0383876414371,True,110.01738196617994,-0.07812279120523635,0.7316583623431749,0.6771800870577978
all8,ID07,edge,low,CDHG,352.14755,211.565355,53.795866,-8.2962527777471,-174.70692243522146,35.33316390238353,178.43701697879692,906.6934696461826,0.9066934696461826,146.97454178772873,True,101.18425319474687,0.5141402751934585,-0.8068168654732516,0.2910435070773988
all8,ID08,edge,mid,CDHG,391.90054,1132.2804,-71.53192899999999,68.25346920203413,-4.173797868494376,-24.68045212618722,72.69856507464978,557.6228692802323,0.5576228692802323,54.37641166395982,True,48.25232863256096,0.9072809740623291,0.33926058685360044,0.24848237022425146
all8,ID09,edge,high,CDHG,408.80994,1568.1853500000002,-62.4257885,44.96333549894928,-7.589696108437238,-6.110560773174669,46.00699924111722,828.1828777899989,0.8281828777899989,21.567291199001716,True,40.63860147088755,0.6312977894389327,0.7547661617238868,0.1783007071385547
all8,ID10,edge,low,ADHE,65.499245,238.64973,-938.19342,28.398656656501743,-110.78885051520574,-54.83921261573085,126.83844976460334,1028.888366883956,1.028888366883956,119.61646543617474,True,42.188784472229344,0.1744789141155167,-0.6846721479206422,-0.7076589280089698
all8,ID11,edge,mid,ADHE,-63.9057945,1133.4998500000002,-956.990295,-37.57276118098885,13.123963587051549,-54.207511923251786,67.24883011552961,772.4125676186849,0.7724125676186848,53.21429220772686,True,41.1174446766579,0.06488020470006099,0.24649898235342277,-0.9669688778532664
all8,ID12,edge,high,ADHE,-43.6886845,1590.1300500000002,-956.35754,87.3020168184706,108.68327161841898,-44.96507999795574,146.477145280341,990.2052092885641,0.9902052092885641,111.10548589291696,True,95.45221366724269,0.07102709099109993,0.6534293152627154,-0.753647983013715
