grid_mm,mask,version,ID,location,height,facing,mean_x,mean_y,mean_z,gdop,hdop,vdop,cond,radial_p95,pct_ge8
50.0,all8,v4-io,ID01,edge,low,ABEF,1339.0175007439827,766.8834986068538,129.2331742499558,1.1099202632904053,0.8335719108581543,0.7328580021858215,2.098633050918579,115.1088534573236,91.75686927560366
50.0,all8,v4-io,ID02,edge,mid,ABEF,1507.0711124056868,716.4300850182786,-868.6103357405455,1.2007049322128296,0.7886890769004822,0.9053517580032349,3.4068679809570312,101.46588053410308,95.67027477102414
50.0,all8,v4-io,ID03,edge,high,ABEF,1491.619118581302,655.9971491365872,-1798.1047371148002,1.1038752794265747,0.8501017689704895,0.7041786313056946,2.005128860473633,115.56446212698349,92.2564529558701
50.0,all8,v4-io,ID04,edge,low,BCGF,2201.277217666929,1050.5786420763402,295.73289825998944,1.080433964729309,0.8363506197929382,0.6839994192123413,1.603016972541809,108.77067421221275,93.83846794338052
50.0,all8,v4-io,ID05,edge,mid,BCGF,2240.371048649451,1125.6909974307723,-902.227785676734,1.153921365737915,0.780238151550293,0.8501546382904053,2.587587833404541,92.9528493350123,91.5
50.0,all8,v4-io,ID06,edge,high,BCGF,2214.562607525611,1091.593316936203,-1671.1105257891245,1.0949110984802246,0.8158794641494751,0.7301856279373169,1.8414595127105713,149.01037659410417,92.83930058284764
50.0,all8,v4-io,ID07,edge,low,CDHG,1767.346487139338,1616.57187591758,140.61404512006774,1.1150307655334473,0.8353226184844971,0.7385998964309692,2.179884195327759,142.19247577249772,90.84096586178184
50.0,all8,v4-io,ID08,edge,mid,CDHG,1584.357224519253,1708.1238792672357,-953.384806564461,1.194799542427063,0.7920273542404175,0.894560694694519,3.3311376571655273,149.6550058641465,90.25811823480431
50.0,all8,v4-io,ID09,edge,high,CDHG,1615.989722214035,1698.2488648858075,-1385.5367770269222,1.155565619468689,0.8132631182670593,0.8209353685379028,2.775951862335205,101.40452454866414,93.42214820982517
50.0,all8,v4-io,ID10,edge,low,ADHE,703.3502828016352,1299.5397297098211,44.516674968173554,1.1067407131195068,0.8088573217391968,0.7553972005844116,1.9945645332336426,89.18581012874685,90.75770191507078
50.0,all8,v4-io,ID11,edge,mid,ADHE,705.7250145406726,1091.165468050263,-971.8269565202183,1.1574939489364624,0.7788078188896179,0.8563004732131958,2.595529079437256,82.23537267240161,91.84013322231472
50.0,all8,v4-io,ID12,edge,high,ADHE,711.3026756298295,1229.9314954331069,-1525.6999630850255,1.1150262355804443,0.8059903979301453,0.7704954147338867,2.115931987762451,80.4570476336421,91.3405495420483
50.0,all8,v4-io,ID13,center,mid,ABEF,1525.3772925082587,1084.9599717274798,-888.8486984598887,1.1991753578186035,0.7843378186225891,0.9071030616760254,3.3598971366882324,129.35301641611318,91.66666666666666
50.0,all8,v4-io,ID14,center,mid,BCGF,1544.141978313697,1067.0701924047007,-898.230295390281,1.1992013454437256,0.7845338582992554,0.9069677591323853,3.3613510131835938,72.22045437214963,91.9233971690258
50.0,all8,v4-io,ID15,center,mid,CDHG,1501.1107914784156,1075.307267215994,-880.1568814353286,1.1997261047363281,0.7842910885810852,0.9078711867332458,3.3677003383636475,91.79708064770448,95.58701082431308
50.0,all8,v4-io,ID16,center,mid,ADHE,1544.5546210976731,1060.9555672643671,-947.66847998736,1.1964606046676636,0.7851706147193909,0.9027873277664185,3.32456111907959,73.17561402236818,89.75853455453789
50.0,all8,v4-io,ID17,center,low,ABEF,1380.5200175577754,1081.025698467634,24.809441588108047,1.1212776899337769,0.8122988343238831,0.7729387283325195,2.2757842540740967,111.70623027627964,92.49374478732275
50.0,all8,v4-io,ID18,center,low,BCGF,1455.2468479812926,924.1520545772048,-0.0205933887045523,1.1241568326950073,0.8149470090866089,0.7743318676948547,2.3194947242736816,75.1893906698287,92.91075896580485
50.0,all8,v4-io,ID19,center,low,CDHG,1651.1845802515977,1066.5794167760464,119.58967211377588,1.107692837715149,0.8211926817893982,0.743388295173645,2.061520576477051,217.46153630377552,89.84179850124896
50.0,all8,v4-io,ID20,center,low,ADHE,1469.8598522746754,1211.1129536321523,160.84592107231205,1.1017913818359375,0.8268855810165405,0.7281514406204224,1.9586812257766724,185.9268578972658,91.42381348875936
50.0,all8,v4-io,ID21,center,high,ABEF,1498.2269138185509,1051.0521127720715,-1478.9149026795692,1.126568078994751,0.8093828558921814,0.7836166620254517,2.355377197265625,97.70277988293402,91.3405495420483
50.0,all8,v4-io,ID22,center,high,BCGF,1479.5657250256318,1022.7501608879636,-1416.1742827184464,1.1427791118621826,0.8025909662246704,0.8135057687759399,2.5910327434539795,70.24702567172382,92.67277268942549
50.0,all8,v4-io,ID23,center,high,CDHG,1455.432405849321,1045.466187836488,-1540.5174101218654,1.1191290616989136,0.813266396522522,0.7687962055206299,2.2429885864257812,129.18611830283794,93.75520399666944
50.0,all8,v4-io,ID24,center,high,ADHE,1471.085523982645,1015.6314445096888,-1474.1352226871666,1.135092854499817,0.8057358860969543,0.7995157241821289,2.4803848266601562,128.86793089145365,92.5895087427144
