layout,tag_method,keep_k,repeats,accuracy_median_mm,accuracy_iqr_low_mm,accuracy_iqr_high_mm,horizontal_median_mm,vertical_median_mm,elapsed_s
v4-io,T1,8,1,74.11444194377738,74.11444194377738,74.11444194377738,42.71442604718662,65.53334817371524,9.005200772997341
v4-io,T1,7,5000,78.68583192557412,78.11969406889641,79.26217483680261,39.71189250078732,68.93727941834425,201.02563245900092
v4-io,T1,6,5000,99.8204156495046,98.157359957252,101.57256587798368,42.25733107835897,77.3295545745413,197.28002563500195
v4-io,T1,5,5000,110.76266692542345,109.07059861797258,112.53400478561666,45.05686036945449,87.16750778806863,204.51294833200518
v4-io,T1,4,5000,116.23391677240232,113.93242682241515,118.38060744697006,43.579995782341484,89.16453114081821,191.42886474900297
