material,wall_count,representative_wall_distance_cm,p95_m,p95_mm,safe_distance_cm_p95lt0p15,safe_distance_cm_p95lt0p25
light_drywall,4,100,0.0660666823387146,66.0666823387146,15,0
gypsum_block,4,100,0.0695926547050476,69.5926547050476,35,15
aerated_concrete,4,100,0.0729024186730384,72.9024186730384,50,25
sand_lime_brick,4,100,0.0799520015716552,79.9520015716552,60,35
reinforced_concrete_C25_30,4,100,0.090849220752716,90.849220752716,80,50
reinforced_concrete_C30_37,4,100,0.0990954414010047,99.09544140100469,80,60
reinforced_concrete_C40_50,4,100,0.1090830117464065,109.0830117464065,90,70
