case_id,anchor,delay_rel_A_median_mm,delay_rel_A_sd_mm,delay_rel_A_p05_mm,delay_rel_A_p95_mm
original_selfcal,A,0.0,0.0,0.0,0.0
original_selfcal,B,40.098325259952524,0.5668141309165837,39.13753172299814,40.96577066141556
original_selfcal,C,45.72739008615412,0.6016136013257746,44.78825504498203,46.72486930036291
original_selfcal,D,45.03199050726278,0.5492353006972828,44.18605970191426,45.92835466041811
original_selfcal,E,2.032473138449258,0.4506132440262785,1.3431105984850151,2.802136322367238
original_selfcal,F,24.855959740976928,0.5947501566452403,23.76265861155668,25.723838459524806
original_selfcal,G,6.928840217499541,0.4793951509742814,6.169926381918209,7.729677926334142
original_selfcal,H,14.343986906187185,0.6304011263934123,13.368575168137598,15.352163619145989
vicon_truth_delaycal,A,0.0,0.0,0.0,0.0
vicon_truth_delaycal,B,-51.70263293622568,0.4573166149533599,-52.53596626955894,-51.03596626955891
vicon_truth_delaycal,C,-21.023941055622466,0.4069913447036594,-21.607274388955787,-20.357274388955744
vicon_truth_delaycal,D,-33.248871219025546,0.46669544889209946,-34.082204552358846,-32.498871219025574
vicon_truth_delaycal,E,-99.02573809562747,0.46755370386488,-99.77573809562745,-98.35490476229404
vicon_truth_delaycal,F,-97.60243667701675,0.46153781638337804,-98.43577001035001,-96.93160334368326
vicon_truth_delaycal,G,-62.19392391444121,0.41666657376439126,-62.86059058110793,-61.5272572477746
vicon_truth_delaycal,H,-62.98452151172805,0.4380824854866679,-63.65118817839479,-62.23035484506141
scale_to_vicon_delaycal,A,0.0,0.0,0.0,0.0
scale_to_vicon_delaycal,B,36.4287821009856,0.5398912334194873,35.52310012922287,37.2629616862741
scale_to_vicon_delaycal,C,43.013746038762214,0.5741753385639371,42.09840852785529,43.92212906717405
scale_to_vicon_delaycal,D,41.703351816155774,0.5238282248253665,40.900872590342985,42.56394674341116
scale_to_vicon_delaycal,E,-1.4510601428300092,0.4300837767979801,-2.123281530613722,-0.7246075267247836
scale_to_vicon_delaycal,F,21.022322579160935,0.5648610218625136,19.953986634789548,21.840943526922022
scale_to_vicon_delaycal,G,5.775428255405181,0.4594656939078832,5.0559208540613305,6.562095852583965
scale_to_vicon_delaycal,H,12.543402359994637,0.6007498915503512,11.627829096078392,13.49705736419169
one_baseline_EH_delaycal,A,0.0,0.0,0.0,0.0
one_baseline_EH_delaycal,B,37.59061297547378,0.5544309251495554,36.646408605239756,38.43283476449085
one_baseline_EH_delaycal,C,43.8599614152584,0.5823563731587748,42.97443973271302,44.81956142498631
one_baseline_EH_delaycal,D,42.75956394034136,0.5333655395723506,41.94229756189411,43.646821342155256
one_baseline_EH_delaycal,E,-0.34984181336799836,0.44856938040550415,-1.057324233472012,0.4083352205949717
one_baseline_EH_delaycal,F,22.23946820649032,0.5786498114677857,21.142874897510392,23.07230833577957
one_baseline_EH_delaycal,G,6.129028010117306,0.46570223696683083,5.413937614879015,6.926633543939017
one_baseline_EH_delaycal,H,13.10045224567001,0.6154809391279537,12.17864192210184,14.084649486630386
