case,median_3d_mm,p95_3d_mm,source,rmse_3d_mm
V4 production ROTO v4-io/T4,105.8,231.8,FULL/roto_absolute,
V5 ROTO D0,126.39393744609748,276.2485855085733,Phase2,167.2739952788204
V5 ROTO D_LOO_CV,101.48477739653228,214.3693133943896,Phase2,126.22614768446928
