row,static_median_3d_mm,static_p95_3d_mm,interpretation
V4 production static v4-io/T4,72.7,171.5,FULL_4way_comparison report
V5 D0,109.51537928451556,223.85943877996436,Phase2
V5 D_LOO_CV,67.84873089032392,153.63462763650298,Phase2
V5 D_sweep_opt,56.61920830126448,128.05436599617215,Phase2
old Vicon anchor control,64.1,128.4,oracle ceiling
updated V5-era Vicon cm oracle,63.39153174722954,159.81769435321524,oracle ceiling
