case,median_3d_mm,p95_3d_mm,rmse_3d_mm,source
V4 production static v4-io/T4,72.7,171.5,109.8,FULL_4way_comparison report
V5 D0,109.51537928451556,223.85943877996436,140.5199951638537,Phase2
V5 D_LOO_CV,67.84873089032392,153.63462763650298,82.79872650778267,Phase2
V5 D_sweep_opt,56.61920830126448,128.05436599617215,74.48425619296654,Phase2
