case,median_3d_mm,p95_3d_mm,source,rmse_3d_mm
old Vicon anchor control,64.1,128.4,FULL_AutoPos_align_to_Vicon,
updated V5-era Vicon cm oracle,63.39153174722954,159.81769435321524,Phase3 C_Vicon_refit_cm + D_LOO_CV,82.00394066723503
