capture_id,status,beta_s,score_median_3d_mm,n_overlap,coarse_beta_min_s,coarse_beta_max_s,coarse_step_s,refine_step_s,second_candidate_score_median_3d_mm,second_to_best_score_ratio
R01,ok,37.70795600000014,107.20546492327846,2401,-0.002044,71.64334799999999,0.05,0.005,121.26074818218615,1.1311060333441616
R02,ok,46.52235800000014,110.93572178105433,2401,-0.002642,54.264611,0.05,0.005,133.2653497486092,1.2012843799008692
R03,ok,46.377582000000146,106.78418228218246,2250,-0.002418,56.391459999999995,0.05,0.005,143.15833179976036,1.3406323740107633
R04,ok,47.29321100000013,103.83337530664596,2400,-0.001789,51.409379,0.05,0.005,131.55991423987035,1.2670291594715184
R05,ok,48.70257800000013,113.44679221003578,2401,-0.002422,51.85916399999999,0.05,0.005,141.66476535284252,1.2487331073280934
R06,ok,45.52379100000014,117.14211614527524,2401,-0.001209,49.16001100000001,0.05,0.005,173.98853776542097,1.4852774005691254
R07,ok,45.229804000000115,100.90395455080343,2401,-0.000196,49.137575999999996,0.05,0.005,139.3293474415486,1.3808115654317457
R08,ok,44.84747700000013,95.03493331671426,2401,-0.002523,47.287713,0.05,0.005,147.61907248456117,1.5533137903364918
R09,ok,44.96743900000014,122.72066283492782,2400,-0.002561,62.536878,0.05,0.005,180.82587484912978,1.4734753762889918
R10,ok,45.34070900000013,90.12549456408001,2400,-0.014291,48.38864099999999,0.05,0.005,118.3138416717027,1.3127677384070333
R11,ok,45.512481000000136,93.09557430637604,2401,-0.002519,49.743836,0.05,0.005,103.57154481607174,1.1125292001016014
R12,ok,46.934825000000124,103.03069638019778,2400,-0.000175,48.02325499999999,0.05,0.005,118.21882040916066,1.1474135821902685
R13,ok,44.91856400000012,99.0858084942981,2401,-0.001436,52.828924999999984,0.05,0.005,111.06771573741781,1.1209245544361603
R14,ok,45.59368200000013,86.54816473244047,2401,-0.001318,53.92812900000001,0.05,0.005,97.20191333138128,1.1230961815525073
R15,ok,43.647452000000136,93.09666896465929,2400,-0.002548,47.471643,0.05,0.005,104.90424972166677,1.1268313988923686
R16,ok,44.509039000000136,101.80163657312802,2401,-0.000961,49.495677,0.05,0.005,108.60491721989412,1.0668287944651955
R17,ok,45.54838000000013,100.44378170631413,2401,-0.00162,50.101534,0.05,0.005,111.4664905660447,1.109740082188061
