capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,seed_id,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R15,BSDC91,1200,1200,0.00030924285838962554,0.00046789420950495527,0.0005691588266530341,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R16,BS2DCE,1201,1201,0.00029982433439096866,0.0004795264878509419,0.0006853490152291315,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R16,BSDC91,1200,1200,0.00026129492037322096,0.00040530949792662877,0.000522577199749967,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R17,BS2DCE,1201,1201,0.00027563522218807814,0.0003686301896259959,0.0004823539626528459,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R17,BSDC91,1200,1200,0.00027385283411376205,0.0004027040488303887,0.0005776081148548689,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R01,BS2DCE,1201,1201,0.00048812206296465537,0.0008396749534467921,0.0012734170358858665,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R01,BSDC91,1200,1200,0.0004143617050520542,0.0007629501922460804,0.0010251573429074284,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R02,BS2DCE,1201,1201,0.00039667415463637295,0.0007078829321040465,0.0011016227913041143,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R02,BSDC91,1200,1200,0.0004048634472041913,0.0007593107106783323,0.001048551667200142,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R03,BS2DCE,1200,1200,0.00038848934701693103,0.0006920259732947522,0.0008345103737352091,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R03,BSDC91,1200,1200,0.0004668529326843353,0.0008919352077683858,0.0013247653831697638,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
