experiment,layout_solver,layout_variant,delay_mode,tag_method,scale_source,tracks_ok,captures_ok,n_overlap_total,err3d_p50_track_median_mm,err3d_p95_track_median_mm,err3d_rmse_track_median_mm,err_horizontal_xz_p50_track_median_mm,err_horizontal_xz_p95_track_median_mm,err_vertical_y_p50_track_median_mm,err_vertical_y_p95_track_median_mm,turn_center_abs_error_3d_track_median_mm,turn_center_abs_error_3d_track_p95_mm,radius_error_abs_track_median_mm,radius_error_abs_track_p95_mm,axis_angle_abs_track_median_deg,residual_rms_track_median_mm,sample_weighted_err3d_p50_mm,sample_weighted_err3d_p95_mm,sample_weighted_err3d_rmse_mm,sample_weighted_horizontal_xz_p50_mm,sample_weighted_horizontal_xz_p95_mm,sample_weighted_vertical_y_p50_mm,sample_weighted_vertical_y_p95_mm
scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,T1,rigid_no_scale,34,17,40661,139.10847759451875,290.2297054993578,163.64019234034194,78.1516566441746,192.26812999206422,85.92605103064244,239.0102919741254,61.985644081379505,97.66168741825429,101.80206952211984,150.46702668637988,4.037888062778699,112.74814522272588,,,,,,,
scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,T2,rigid_no_scale,34,17,40661,139.122399533252,289.99432855517927,163.53683541434663,78.361604858587,193.02773153890013,85.51360393803247,239.98094646937858,61.929348737089,97.85366271751627,101.75007040512395,150.5186499036795,4.032011173158443,112.70869489113677,,,,,,,
scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,T3,rigid_no_scale,34,17,40661,141.2124305634507,284.7177916770373,172.0973774149145,81.64614565248155,193.05441924451475,82.41302806719708,247.08287720448868,64.4137192879582,105.22438106442159,93.93885549973635,155.97557625499024,4.719461302471638,114.18431851902983,,,,,,,
scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,T4,rigid_no_scale,34,17,40661,134.7239130857182,280.5861951750904,167.02669340660938,77.51960881093373,197.25375693190236,79.64567483758424,220.0139486952769,63.62129548793122,101.1072187032091,79.38607975162,134.25614929083542,3.7919524568486676,112.5594658879836,,,,,,,
scale_to_vicon,v1-old,solver_similarity_scale_to_vicon,scaled_layout_inter_anchor_delaycal,T1,all_anchor_similarity,34,17,40661,107.75556031854632,205.23374334447323,124.27530421860597,62.973194770261344,139.18832102298822,70.72547836915612,174.68496057032706,70.58927443814139,100.45636890765991,21.8425001102689,42.17433441241201,2.491170509946462,83.4015067718709,,,,,,,
scale_to_vicon,v1-old,solver_similarity_scale_to_vicon,scaled_layout_inter_anchor_delaycal,T2,all_anchor_similarity,34,17,40661,107.9379430945097,205.1900640830115,124.21674443204496,63.00462222003701,138.46648224014962,70.78241833979652,174.72261211322592,70.5432935205005,100.4313424480574,21.88013851490669,42.20094273625672,2.4799495871170194,83.36151650647056,,,,,,,
scale_to_vicon,v1-old,solver_similarity_scale_to_vicon,scaled_layout_inter_anchor_delaycal,T3,all_anchor_similarity,34,17,40661,106.8591741232847,204.03213279407063,123.66801899581493,62.66310687944491,138.66317121555116,70.12641574195945,175.94792232369994,74.81603066096511,97.99230618984492,17.86849770465983,42.94265690348123,2.609156844597388,83.534207760789,,,,,,,
scale_to_vicon,v1-old,solver_similarity_scale_to_vicon,scaled_layout_inter_anchor_delaycal,T4,all_anchor_similarity,34,17,40661,108.23335843539132,202.67691636872016,123.51190833281274,62.12405223541296,138.8908835630636,70.46210251309003,173.12056871372448,70.18713010687148,102.32271724402132,18.308686710825015,38.35065644634583,2.454128538963955,82.96036216346886,,,,,,,
scale_to_vicon,v1-old,solver_similarity_scale_to_vicon,solver_delay,T1,all_anchor_similarity,34,17,40661,299.59175476298776,487.9755408920228,321.7989411175689,147.00579394942207,296.7655963693725,255.7183856105519,435.40343017714645,85.7889130233369,184.49648352776018,237.26407126697686,313.48075024227984,8.032268337910594,179.94499894486145,,,,,,,
scale_to_vicon,v1-old,solver_similarity_scale_to_vicon,solver_delay,T2,all_anchor_similarity,34,17,40661,299.48875486525503,486.1186155598608,321.63841991948885,147.21906211931773,297.09693122791896,255.65104924688143,435.3731610944109,86.17543589208157,187.81807987574277,237.5289429973421,313.24515502638536,8.034865283494117,180.10684239210457,,,,,,,
scale_to_vicon,v1-old,solver_similarity_scale_to_vicon,solver_delay,T3,all_anchor_similarity,34,17,40661,304.00423340095233,548.5375180302705,353.61348399677513,153.50282413501202,320.5283004539067,249.5791929176389,499.88670955860175,106.92245851763222,254.65352370788153,196.85360838626406,232.1141353775354,6.403527959343878,192.27909426961304,,,,,,,
