host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm,first_to_last_us,frame_us,poll_count
0.0218,1777241397.209528,625,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8026,24108,4
0.280646,1777241397.468374,626,,BSF66F,,cal_static,4,success,95,4,4,31126,32228,0,7965,25054,4
0.430729,1777241397.618457,627,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24139,4
0.719136,1777241397.906864,628,,BSF66F,,cal_static,4,success,95,4,4,15,17,0,8148,24230,4
0.820524,1777241398.008252,629,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8148,23406,4
1.097886,1777241398.285614,630,,BSF66F,,cal_static,4,success,96,4,4,15,18,0,7965,24047,4
1.237788,1777241398.425516,631,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,25085,4
1.486449,1777241398.674177,632,,BSF66F,,cal_static,4,success,96,4,4,5,6,0,8026,24200,4
1.615379,1777241398.803107,633,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
1.874067,1777241399.061795,634,,BSF66F,,cal_static,4,success,97,4,4,1,1,0,8026,24108,4
2.027884,1777241399.215612,635,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
2.283519,1777241399.471247,636,,BSF66F,,cal_static,4,success,97,4,4,770,1145,0,7965,24047,4
2.444243,1777241399.631971,637,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24017,4
2.672829,1777241399.860557,638,,BSF66F,,cal_static,4,success,97,4,4,442,680,0,8026,24169,4
2.822946,1777241400.010674,639,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24017,4
3.077782,1777241400.26551,640,,BSF66F,,cal_static,4,success,97,4,4,4977,5958,0,8209,24291,4
3.260498,1777241400.448226,641,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,25054,4
3.467722,1777241400.65545,642,,BSF66F,,cal_static,4,success,98,4,4,0,0,0,7965,24017,4
3.621438,1777241400.809166,643,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8148,24078,4
3.880482,1777241401.06821,644,,BSF66F,,cal_static,4,success,98,4,4,20,24,0,7965,24047,4
4.030509,1777241401.218237,645,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,25054,4
4.266493,1777241401.454221,646,,BSF66F,,cal_static,4,success,98,4,4,10,12,0,8026,24139,4
4.420794,1777241401.608522,647,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24078,4
4.696328,1777241401.884056,648,,BSF66F,,cal_static,4,success,98,4,4,7,8,0,7965,24108,4
4.836299,1777241402.024027,649,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8331,23406,4
5.087599,1777241402.275327,650,,BSF66F,,cal_static,4,success,98,4,4,11,13,0,7965,24047,4
5.215326,1777241402.403054,651,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24017,4
5.473775,1777241402.661503,652,,BSF66F,,cal_static,4,success,98,4,4,4,5,0,8026,24108,4
5.627673,1777241402.815401,653,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
5.882677,1777241403.070405,654,,BSF66F,,cal_static,4,success,98,4,4,6442,7490,0,7965,25054,4
6.043724,1777241403.231452,655,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8026,24078,4
6.271105,1777241403.458833,656,,BSF66F,,cal_static,4,success,98,4,4,1,2,0,7965,25085,4
6.422608,1777241403.610336,657,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
6.681155,1777241403.868883,658,,BSF66F,,cal_static,4,success,98,4,4,1,2,0,8209,24261,4
6.857893,1777241404.045621,659,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
7.090179,1777241404.277907,660,,BSF66F,,cal_static,4,success,98,4,4,20,25,0,7965,25085,4
7.221287,1777241404.409015,661,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8148,24291,4
7.480025,1777241404.667753,662,,BSF66F,,cal_static,4,success,98,4,4,1,1,0,8026,25146,4
7.630303,1777241404.818031,663,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
7.915123,1777241405.102851,664,,BSF66F,,cal_static,4,success,98,4,4,222,336,0,8087,25177,4
8.020291,1777241405.208019,665,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24078,4
8.297598,1777241405.485326,666,,BSF66F,,cal_static,4,success,99,4,4,316,488,0,7965,25085,4
8.436315,1777241405.624043,667,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
8.688194,1777241405.875922,668,,BSF66F,,cal_static,4,success,99,4,4,37998,39153,0,7965,24047,4
8.815005,1777241406.002733,669,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,25054,4
9.074264,1777241406.261992,670,,BSF66F,,cal_static,4,success,99,4,4,2,2,0,7965,24047,4
9.227592,1777241406.41532,671,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
9.480966,1777241406.668694,672,,BSF66F,,cal_static,4,success,99,4,4,10,12,0,7965,24078,4
9.613598,1777241406.801326,673,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8117,24078,4
9.872439,1777241407.060167,674,,BSF66F,,cal_static,4,success,99,4,4,17,19,0,7965,24047,4
10.022566,1777241407.210294,675,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
10.281007,1777241407.468735,676,,BSF66F,,cal_static,4,success,99,4,4,10,12,0,8087,25268,4
10.459948,1777241407.647676,677,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,25054,4
10.689949,1777241407.877677,678,,BSF66F,,cal_static,4,success,99,4,4,622846,623631,0,7965,24047,4
10.821326,1777241408.009054,679,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8056,24108,4
11.078574,1777241408.266302,680,,BSF66F,,cal_static,4,success,99,4,4,17,20,0,10345,24383,5
11.229939,1777241408.417667,681,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
11.518502,1777241408.70623,682,,BSF66F,,cal_static,4,success,100,4,4,101270,102339,0,8026,24078,4
11.619851,1777241408.807579,683,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8056,24139,4
11.89748,1777241409.085208,684,,BSF66F,,cal_static,4,success,100,4,4,15,18,0,7965,24139,4
12.036186,1777241409.223914,685,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8026,24108,4
12.28775,1777241409.475478,686,,BSF66F,,cal_static,4,success,100,4,4,39,53,0,7965,24108,4
12.414878,1777241409.602606,687,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,25085,4
12.670118,1777241409.857846,688,,BSF66F,,cal_static,4,success,100,4,4,1,1,0,7965,24017,4
12.827663,1777241410.015391,689,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8087,24169,4
13.082251,1777241410.269979,690,,BSF66F,,cal_static,4,success,100,4,4,1,1,0,7965,24047,4
13.243457,1777241410.431185,691,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,8087,25177,4
13.472407,1777241410.660135,692,,BSF66F,,cal_static,4,success,100,4,4,7,8,0,7965,24047,4
13.622252,1777241410.80998,693,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
13.880983,1777241411.068711,694,,BSF66F,,cal_static,4,success,100,4,4,10,12,0,8026,24108,4
14.059879,1777241411.247607,695,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0,7965,24047,4
