host_elapsed_s,host_epoch_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
70.240,1777920045.362466,9503280,23956,H,7,0xa107,0xb101,0xe1,15395,7,1777,123,6061,20
71.540,1777920046.662791,9504581,23957,H,7,0xa107,0xb101,0xe1,16530,7,1786,119,6176,20
76.440,1777920051.562396,9509481,23958,H,7,0xa107,0xb101,0xe1,16265,7,1847,122,4309,20
81.339,1777920056.461819,9514381,23959,H,7,0xa107,0xb101,0xe1,16141,7,1803,121,6258,20
112.937,1777920088.059717,9545981,23960,H,7,0xa107,0xb101,0xe1,14250,7,628,76,2170,20
113.937,1777920089.059979,9546981,23961,H,7,0xa107,0xb101,0xe1,16647,7,1829,120,5038,20
118.937,1777920094.059522,9551981,23962,H,7,0xa107,0xb101,0xe1,16837,7,1912,122,4097,20
123.036,1777920098.159004,9556081,23963,H,7,0xa107,0xb101,0xe1,16326,7,1854,122,6839,20
127.935,1777920103.058206,9560981,23964,H,7,0xa107,0xb101,0xe1,16257,7,1816,121,4288,20
132.836,1777920107.958228,9565881,23965,H,7,0xa107,0xb101,0xe1,17101,7,1942,122,5806,20
