row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R4:L15:I0:T6,simulate_imu_prior,0.6518591820058646,,,,
R4:L15:I0:T6,cpu_golden,20.936871656987933,,,,
R4:L15:I0:T6,torch_gpu,2.3127772740117507,0,1,2.3127772740117507,2.3127772740117507
R4:L15:I0:T8,simulate_imu_prior,0.5880250650079688,,,,
R4:L15:I0:T8,cpu_golden,20.26513741898816,,,,
R4:L15:I0:T8,torch_gpu,2.274223874992458,0,1,2.274223874992458,2.274223874992458
R4:L15:I1:T6,simulate_imu_prior,0.5680594699952053,,,,
R4:L15:I1:T6,cpu_golden,20.88500155300426,,,,
R4:L15:I1:T6,torch_gpu,2.09334223800397,0,1,2.09334223800397,2.09334223800397
R4:L15:I1:T8,simulate_imu_prior,0.6049381119955797,,,,
R4:L15:I1:T8,cpu_golden,20.544820005001384,,,,
R4:L15:I1:T8,torch_gpu,2.125278060004348,0,1,2.125278060004348,2.125278060004348
