host_elapsed_s,listener_t_ms,seq,pan,src,dst,code,q,level,cir,rxpacc,fp1,len
110.835,1287942,29837,0xdeca,0xb102,0xa100,0xe0,21319,7,2501,124,7440,12
110.848,1287955,29838,0xdeca,0xa104,0xb102,0xe1,18020,7,1882,117,4044,20
110.948,1288055,29839,0xdeca,0xb101,0xa100,0xe0,17976,7,1975,120,6283,12
110.971,1288078,29840,0xdeca,0xb101,0xa100,0xe0,22334,8,2620,124,7440,12
110.984,1288090,29841,0xdeca,0xb101,0xa105,0xe0,19714,7,2130,119,5427,12
114.011,1291118,29842,0xdeca,0xb102,0xa100,0xe0,19906,7,2373,125,7547,12
114.023,1291131,29843,0xdeca,0xa103,0xb102,0xe1,19278,7,2048,118,4996,20
114.754,1291861,29844,0xdeca,0xb101,0xa100,0xe0,19127,7,2172,122,7603,12
114.766,1291873,29845,0xdeca,0xb101,0xa104,0xe0,18253,7,2039,121,7419,12
115.262,1292369,29846,0xdeca,0xb102,0xa100,0xe0,16802,7,1785,118,6880,12
115.275,1292382,29847,0xdeca,0xb102,0xa105,0xe0,17663,7,1973,121,7334,12
115.308,1292415,29848,0xdeca,0xb103,0xa104,0xe0,17162,7,1981,123,6911,12
115.506,1292613,29849,0xdeca,0xb103,0xa100,0xe0,17875,7,2097,124,6997,12
115.532,1292626,29850,0xdeca,0xb103,0xa102,0xe0,17542,7,1992,122,4715,12
115.709,1292817,29851,0xdeca,0xb103,0xa104,0xe0,17415,7,2043,124,6040,12
115.722,1292829,29852,0xdeca,0xb103,0xa106,0xe0,19250,7,2222,123,6702,12
115.812,1292919,29853,0xdeca,0xb101,0xa100,0xe0,15401,7,1664,119,4732,12
115.848,1292955,29854,0xdeca,0xb101,0xa103,0xe0,17188,7,1826,118,7113,12
115.908,1293014,29855,0xdeca,0xb103,0xa100,0xe0,15799,7,1707,119,6877,12
115.919,1293027,29856,0xdeca,0xb103,0xa102,0xe0,17895,7,1999,121,6209,12
115.932,1293039,29857,0xdeca,0xb101,0xa100,0xe0,17292,7,1837,118,7373,12
115.944,1293051,29858,0xdeca,0xb101,0xa103,0xe0,16143,7,1686,117,7121,12
115.956,1293064,29859,0xdeca,0xb101,0xa107,0xe0,17909,7,2101,124,7786,12
116.108,1293216,29860,0xdeca,0xb103,0xa104,0xe0,17680,7,1975,121,6766,12
116.121,1293228,29861,0xdeca,0xb103,0xa106,0xe0,17586,7,1900,119,6731,12
116.133,1293240,29862,0xdeca,0xb101,0xa100,0xe0,19917,7,2299,123,7353,12
116.146,1293253,29863,0xdeca,0xb101,0xa104,0xe0,20825,7,2443,124,7203,12
116.262,1293369,29864,0xdeca,0xb102,0xa100,0xe0,17972,7,1877,117,7218,12
116.274,1293381,29865,0xdeca,0xb102,0xa104,0xe0,17347,7,2035,124,7403,12
116.307,1293414,29866,0xdeca,0xb103,0xa100,0xe0,17685,7,1847,117,6954,12
116.320,1293427,29867,0xdeca,0xb103,0xa102,0xe0,20921,7,2185,117,7156,12
116.332,1293439,29868,0xdeca,0xb101,0xa100,0xe0,19015,7,2020,118,7254,12
116.344,1293451,29869,0xdeca,0xb101,0xa103,0xe0,18826,7,2034,119,7028,12
116.382,1293490,29870,0xdeca,0xb102,0xa100,0xe0,20774,7,2437,124,7335,12
116.396,1293502,29871,0xdeca,0xb102,0xa105,0xe0,17292,7,1996,123,6750,12
116.505,1293613,29872,0xdeca,0xb103,0xa104,0xe0,18941,7,2222,124,7467,12
116.519,1293625,29873,0xdeca,0xb103,0xa106,0xe0,18224,7,1936,118,6954,12
116.535,1293643,29874,0xdeca,0xb101,0xa100,0xe0,17081,7,1908,121,5011,12
116.548,1293655,29875,0xdeca,0xb101,0xa105,0xe0,16821,7,1879,121,2217,12
116.581,1293688,29876,0xdeca,0xb102,0xa100,0xe0,19378,7,2129,120,7344,12
116.593,1293700,29877,0xdeca,0xb102,0xa104,0xe0,16661,7,413,57,2758,12
116.709,1293816,29878,0xdeca,0xb103,0xa100,0xe0,18480,7,2203,125,6341,12
116.721,1293828,29879,0xdeca,0xb103,0xa102,0xe0,18148,7,2129,124,7431,12
116.734,1293841,29880,0xdeca,0xb101,0xa100,0xe0,21500,7,2284,118,6645,12
116.747,1293853,29881,0xdeca,0xb101,0xa104,0xe0,20066,7,2354,124,7101,12
116.779,1293886,29882,0xdeca,0xb102,0xa100,0xe0,21214,7,2409,122,7369,12
116.791,1293899,29883,0xdeca,0xb102,0xa104,0xe0,18495,7,2066,121,7508,12
116.905,1294013,29884,0xdeca,0xb103,0xa104,0xe0,17224,7,1924,121,7017,12
116.918,1294025,29885,0xdeca,0xb103,0xa106,0xe0,19178,7,2003,117,7116,12
116.935,1294043,29886,0xdeca,0xb101,0xa100,0xe0,19282,7,2262,124,7430,12
116.948,1294055,29887,0xdeca,0xb101,0xa105,0xe0,19214,7,2254,124,7174,12
116.981,1294088,29888,0xdeca,0xb102,0xa100,0xe0,18531,7,2070,121,7388,12
116.993,1294100,29889,0xdeca,0xb102,0xa104,0xe0,18548,7,2004,119,7224,12
117.109,1294216,29890,0xdeca,0xb103,0xa100,0xe0,16548,7,1758,118,6920,12
117.121,1294229,29891,0xdeca,0xb103,0xa102,0xe0,20668,7,2233,119,7315,12
117.134,1294241,29892,0xdeca,0xb101,0xa100,0xe0,20714,7,2238,119,7266,12
117.146,1294253,29893,0xdeca,0xb101,0xa104,0xe0,21645,7,2458,122,7660,12
117.180,1294286,29894,0xdeca,0xb102,0xa100,0xe0,23617,8,2726,123,6543,12
117.191,1294299,29895,0xdeca,0xb102,0xa104,0xe0,21763,7,2431,121,6524,12
117.307,1294415,29896,0xdeca,0xb103,0xa104,0xe0,17762,7,2017,122,7247,12
117.320,1294427,29897,0xdeca,0xb103,0xa106,0xe0,20059,7,2095,117,7020,12
117.332,1294439,29898,0xdeca,0xb101,0xa100,0xe0,18869,7,2178,123,7631,12
117.344,1294452,29899,0xdeca,0xb101,0xa103,0xe0,22024,8,2501,122,7169,12
117.396,1294490,29900,0xdeca,0xb102,0xa100,0xe0,20492,7,2289,121,7167,12
117.506,1294614,29901,0xdeca,0xb103,0xa100,0xe0,17867,7,1963,120,7235,12
117.519,1294626,29902,0xdeca,0xb103,0xa102,0xe0,16911,7,1889,121,6860,12
117.531,1294639,29903,0xdeca,0xb101,0xa100,0xe0,23723,8,2694,122,6807,12
117.544,1294651,29904,0xdeca,0xb101,0xa103,0xe0,19933,7,2190,120,5041,12
117.582,1294689,29905,0xdeca,0xb102,0xa100,0xe0,21872,7,2403,120,4505,12
117.594,1294702,29906,0xdeca,0xb102,0xa105,0xe0,18245,7,2106,123,6072,12
117.705,1294812,29907,0xdeca,0xb103,0xa104,0xe0,18860,7,2177,123,6481,12
117.717,1294824,29908,0xdeca,0xb103,0xa105,0xe0,17086,7,1846,119,6692,12
117.735,1294842,29909,0xdeca,0xb101,0xa100,0xe0,18892,7,2007,118,7307,12
117.747,1294854,29910,0xdeca,0xb101,0xa104,0xe0,16689,7,1773,118,7382,12
117.780,1294887,29911,0xdeca,0xb102,0xa100,0xe0,18808,7,2101,121,7080,12
117.792,1294900,29912,0xdeca,0xb102,0xa104,0xe0,16642,7,1798,119,5130,12
117.906,1295014,29913,0xdeca,0xb103,0xa100,0xe0,18063,7,2119,124,6915,12
117.919,1295026,29914,0xdeca,0xb103,0xa102,0xe0,18798,7,1997,118,7155,12
117.936,1295044,29915,0xdeca,0xb101,0xa100,0xe0,16816,7,1941,123,7497,12
117.949,1295056,29916,0xdeca,0xb101,0xa105,0xe0,17381,7,2039,124,7726,12
117.982,1295089,29917,0xdeca,0xb102,0xa100,0xe0,18715,7,2022,119,6278,12
117.994,1295102,29918,0xdeca,0xb102,0xa105,0xe0,19805,7,2286,123,5479,12
118.105,1295212,29919,0xdeca,0xb103,0xa104,0xe0,18446,7,2164,124,7495,12
118.117,1295225,29920,0xdeca,0xb103,0xa105,0xe0,17367,7,1940,121,6586,12
118.135,1295242,29921,0xdeca,0xb101,0xa100,0xe0,17673,7,2040,123,7241,12
118.148,1295255,29922,0xdeca,0xb101,0xa104,0xe0,18755,7,2095,121,7178,12
