host_elapsed_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
110.853,1287955,7,E,4,0xa104,0xb102,0xe1,18020,7,1882,117,4044,20
114.029,1291131,8,D,3,0xa103,0xb102,0xe1,19278,7,2048,118,4996,20
196.319,1373427,9,D,3,0xa103,0xb103,0xe1,20261,7,2189,119,6463,20
196.719,1373827,10,D,3,0xa103,0xb103,0xe1,19515,7,2144,120,4415,20
199.275,1376383,11,D,3,0xa103,0xb102,0xe1,18777,7,2063,120,4526,20
199.919,1377027,12,D,3,0xa103,0xb103,0xe1,19646,7,2231,122,6940,20
201.517,1378625,13,C,2,0xa102,0xb103,0xe1,16981,7,1804,118,5976,20
202.319,1379427,14,D,3,0xa103,0xb103,0xe1,20489,7,2365,123,7206,20
202.717,1379825,15,C,2,0xa102,0xb103,0xe1,16687,7,1864,121,6949,20
203.118,1380226,16,D,3,0xa103,0xb103,0xe1,19381,7,2094,119,6003,20
203.828,1380936,17,D,3,0xa103,0xb101,0xe1,20417,7,2169,118,7075,20
204.319,1381427,18,D,3,0xa103,0xb103,0xe1,19954,7,2266,122,6879,20
205.116,1382224,19,C,2,0xa102,0xb103,0xe1,16583,7,1732,117,6314,20
208.317,1385426,20,C,2,0xa102,0xb103,0xe1,16803,7,1877,121,6666,20
209.119,1386227,21,D,3,0xa103,0xb103,0xe1,19229,7,2148,121,4265,20
210.316,1387425,22,C,2,0xa102,0xb103,0xe1,15198,7,1642,119,6162,20
