start,parameter_index,parameter_name,unit,value,lower_bound,upper_bound,normalized_bound_clearance,raw_robust_gradient,scaled_gradient,projected_gradient,near_bound,gradient_direction_relative_to_bound,active_mask
0,22,axis_phi:thigh_R,rad,-0.19384959940930424,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,0.0007551405245980122,0.0007551405245980122,0.0007551405245980122,False,INTERIOR_UNBOUNDED,0.0
0,23,relative_heading:thigh_R,rad,-0.11077070735063398,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-6.098964883145125e-06,-6.098964883145125e-06,-6.098964883145125e-06,False,INTERIOR_UNBOUNDED,0.0
0,24,axis_theta:shank_L,rad,-1.7110947872169775,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-4.4516386044101395e-05,-4.4516386044101395e-05,-4.4516386044101395e-05,False,INTERIOR_UNBOUNDED,0.0
0,25,axis_phi:shank_L,rad,-0.14022159382780003,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,8.323219199523287e-05,8.323219199523287e-05,8.323219199523287e-05,False,INTERIOR_UNBOUNDED,0.0
0,26,relative_heading:shank_L,rad,-0.11505038988334591,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,0.004035254414367597,0.004035254414367597,0.004035254414367597,False,INTERIOR_UNBOUNDED,0.0
0,27,axis_theta:shank_R,rad,-1.4605176813439356,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-4.7170503307518354e-05,-4.7170503307518354e-05,-4.7170503307518354e-05,False,INTERIOR_UNBOUNDED,0.0
0,28,axis_phi:shank_R,rad,-0.15459751753016202,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,4.235236510388615e-05,4.235236510388615e-05,4.235236510388615e-05,False,INTERIOR_UNBOUNDED,0.0
0,29,relative_heading:shank_R,rad,0.7213418335698918,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-0.0004378434014692136,-0.0004378434014692136,-0.0004378434014692136,False,INTERIOR_UNBOUNDED,0.0
0,30,yaw_drift:pelvis:knot_1,rad,0.05468660451863437,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,0.001211781570864101,0.001211781570864101,0.001211781570864101,False,INTERIOR_UNBOUNDED,0.0
0,31,yaw_drift:pelvis:knot_2,rad,0.07201172537866507,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-3.044032879095937e-05,-3.044032879095937e-05,-3.044032879095937e-05,False,INTERIOR_UNBOUNDED,0.0
