start,factor_id,action,parameter_block,gradient_norm,signed_projection_on_total
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,AXIS:pelvis,17.751934964648758,16.931546066603126
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,HEADING:pelvis,16.661652732984773,16.661652732984773
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,AXIS:torso,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,HEADING:torso,0.0,-0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,AXIS:upper_arm_L,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,HEADING:upper_arm_L,0.0,-0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,AXIS:upper_arm_R,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,HEADING:upper_arm_R,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,AXIS:forearm_L,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,HEADING:forearm_L,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,AXIS:forearm_R,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,HEADING:forearm_R,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,AXIS:thigh_L,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,HEADING:thigh_L,0.0,-0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,AXIS:thigh_R,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,HEADING:thigh_R,0.0,-0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,AXIS:shank_L,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,HEADING:shank_L,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,AXIS:shank_R,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,HEADING:shank_R,0.0,-0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,DRIFT:pelvis,1.8693895420174822,1.8687458999174
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,DRIFT:torso,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,DRIFT:upper_arm_L,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,DRIFT:upper_arm_R,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,DRIFT:forearm_L,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,DRIFT:forearm_R,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,DRIFT:thigh_L,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,DRIFT:thigh_R,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,DRIFT:shank_L,0.0,0.0
0,static:pelvis:initial_still_attempt2,initial_still_attempt2,DRIFT:shank_R,0.0,0.0
0,static:pelvis:t_pose,t_pose,AXIS:pelvis,17.748775626961375,-16.928233619388728
0,static:pelvis:t_pose,t_pose,HEADING:pelvis,16.65833710717989,-16.65833710717989
0,static:pelvis:t_pose,t_pose,AXIS:torso,0.0,0.0
0,static:pelvis:t_pose,t_pose,HEADING:torso,0.0,-0.0
0,static:pelvis:t_pose,t_pose,AXIS:upper_arm_L,0.0,0.0
0,static:pelvis:t_pose,t_pose,HEADING:upper_arm_L,0.0,-0.0
0,static:pelvis:t_pose,t_pose,AXIS:upper_arm_R,0.0,0.0
0,static:pelvis:t_pose,t_pose,HEADING:upper_arm_R,0.0,0.0
0,static:pelvis:t_pose,t_pose,AXIS:forearm_L,0.0,0.0
0,static:pelvis:t_pose,t_pose,HEADING:forearm_L,0.0,0.0
0,static:pelvis:t_pose,t_pose,AXIS:forearm_R,0.0,0.0
0,static:pelvis:t_pose,t_pose,HEADING:forearm_R,0.0,0.0
0,static:pelvis:t_pose,t_pose,AXIS:thigh_L,0.0,0.0
0,static:pelvis:t_pose,t_pose,HEADING:thigh_L,0.0,-0.0
0,static:pelvis:t_pose,t_pose,AXIS:thigh_R,0.0,0.0
0,static:pelvis:t_pose,t_pose,HEADING:thigh_R,0.0,-0.0
0,static:pelvis:t_pose,t_pose,AXIS:shank_L,0.0,0.0
0,static:pelvis:t_pose,t_pose,HEADING:shank_L,0.0,0.0
0,static:pelvis:t_pose,t_pose,AXIS:shank_R,0.0,0.0
0,static:pelvis:t_pose,t_pose,HEADING:shank_R,0.0,-0.0
0,static:pelvis:t_pose,t_pose,DRIFT:pelvis,9.785087901664443,-9.78171883685213
0,static:pelvis:t_pose,t_pose,DRIFT:torso,0.0,0.0
0,static:pelvis:t_pose,t_pose,DRIFT:upper_arm_L,0.0,0.0
0,static:pelvis:t_pose,t_pose,DRIFT:upper_arm_R,0.0,0.0
0,static:pelvis:t_pose,t_pose,DRIFT:forearm_L,0.0,0.0
0,static:pelvis:t_pose,t_pose,DRIFT:forearm_R,0.0,0.0
0,static:pelvis:t_pose,t_pose,DRIFT:thigh_L,0.0,0.0
0,static:pelvis:t_pose,t_pose,DRIFT:thigh_R,0.0,0.0
0,static:pelvis:t_pose,t_pose,DRIFT:shank_L,0.0,0.0
0,static:pelvis:t_pose,t_pose,DRIFT:shank_R,0.0,0.0
0,drift_prior:pelvis,GLOBAL,AXIS:pelvis,0.0,0.0
0,drift_prior:pelvis,GLOBAL,HEADING:pelvis,0.0,0.0
0,drift_prior:pelvis,GLOBAL,AXIS:torso,0.0,0.0
0,drift_prior:pelvis,GLOBAL,HEADING:torso,0.0,-0.0
0,drift_prior:pelvis,GLOBAL,AXIS:upper_arm_L,0.0,0.0
0,drift_prior:pelvis,GLOBAL,HEADING:upper_arm_L,0.0,-0.0
0,drift_prior:pelvis,GLOBAL,AXIS:upper_arm_R,0.0,0.0
0,drift_prior:pelvis,GLOBAL,HEADING:upper_arm_R,0.0,0.0
0,drift_prior:pelvis,GLOBAL,AXIS:forearm_L,0.0,0.0
0,drift_prior:pelvis,GLOBAL,HEADING:forearm_L,0.0,0.0
0,drift_prior:pelvis,GLOBAL,AXIS:forearm_R,0.0,0.0
0,drift_prior:pelvis,GLOBAL,HEADING:forearm_R,0.0,0.0
0,drift_prior:pelvis,GLOBAL,AXIS:thigh_L,0.0,0.0
0,drift_prior:pelvis,GLOBAL,HEADING:thigh_L,0.0,-0.0
0,drift_prior:pelvis,GLOBAL,AXIS:thigh_R,0.0,0.0
0,drift_prior:pelvis,GLOBAL,HEADING:thigh_R,0.0,-0.0
0,drift_prior:pelvis,GLOBAL,AXIS:shank_L,0.0,0.0
0,drift_prior:pelvis,GLOBAL,HEADING:shank_L,0.0,0.0
0,drift_prior:pelvis,GLOBAL,AXIS:shank_R,0.0,0.0
0,drift_prior:pelvis,GLOBAL,HEADING:shank_R,0.0,-0.0
0,drift_prior:pelvis,GLOBAL,DRIFT:pelvis,1.098061520764026,0.43048212616555737
