start,factor_id,factor_kind,action,phase,row_count,robust_cost,cost_fraction,cost_per_row,abs_residual_median,abs_residual_p95,abs_residual_max,robust_gradient_norm,gradient_cosine_with_total
0,static:pelvis:initial_still_attempt2,STATIC_INITIAL,initial_still_attempt2,FULL_ACTION_WINDOW_NO_SUBPHASE_SEGMENTATION,300,0.229597046553778,0.000754184466303333,0.0007653234885125933,0.018072442410052666,0.08695515116796337,0.10865591549343144,24.417954133045267,0.32479058495034946
0,static:pelvis:t_pose,STATIC_TPOSE,t_pose,FULL_ACTION_WINDOW_NO_SUBPHASE_SEGMENTATION,300,0.06674295265605346,0.0002192384391870829,0.0002224765088535115,0.00605737368691768,0.05048507216724728,0.0961439206396948,26.234846610490493,-0.32776535563777204
0,drift_prior:pelvis,DRIFT_PRIOR,GLOBAL,NOT_ACTION_SCOPED,15,0.07556378617685566,0.00024821327018378106,0.005037585745123711,0.017982850698315525,0.1993984516136311,0.20574778679618594,1.0980615207640263,0.03317873726294896
0,drift_smooth:pelvis,DRIFT_SECOND_DIFFERENCE,GLOBAL,NOT_ACTION_SCOPED,14,0.1468861700225823,0.00048249430647564665,0.010491869287327307,0.03206913847135822,0.33001727217326937,0.4670185457325459,7.54316985259886,0.08396418162752763
0,static:torso:initial_still_attempt2,STATIC_INITIAL,initial_still_attempt2,FULL_ACTION_WINDOW_NO_SUBPHASE_SEGMENTATION,300,0.9009583802886074,0.0029594841283828257,0.0030031946009620248,0.023550120104975713,0.17608030321088655,0.3074962557752164,71.17502079824206,-9.332663051629951e-06
0,static:torso:t_pose,STATIC_TPOSE,t_pose,FULL_ACTION_WINDOW_NO_SUBPHASE_SEGMENTATION,300,0.9724890801393151,0.0031944494447967453,0.0032416302671310505,0.010816810573149548,0.2140919920594823,0.34760829638553875,71.1750209448704,9.806898473523863e-06
0,drift_prior:torso,DRIFT_PRIOR,GLOBAL,NOT_ACTION_SCOPED,15,8.225817804685676e-10,2.7020312778641176e-12,5.483878536457117e-11,1.981252837195264e-06,2.07370793523499e-05,2.122689542556966e-05,0.00011588753339682622,1.2696190181406458e-05
0,drift_smooth:torso,DRIFT_SECOND_DIFFERENCE,GLOBAL,NOT_ACTION_SCOPED,14,1.5153245325194575e-09,4.977565003506486e-12,1.0823746660853268e-10,3.3954326258417955e-06,3.330642016253759e-05,4.538201727401911e-05,0.0008065411491120125,-3.328637679878299e-05
0,static:upper_arm_L:initial_still_attempt2,STATIC_INITIAL,initial_still_attempt2,FULL_ACTION_WINDOW_NO_SUBPHASE_SEGMENTATION,300,41.52565788950575,0.136404220365074,0.13841885963168585,0.4489087530260616,0.9583736447199863,0.9814398423356581,535.0451543069253,0.10304004079742243
0,static:upper_arm_L:t_pose,STATIC_TPOSE,t_pose,FULL_ACTION_WINDOW_NO_SUBPHASE_SEGMENTATION,300,52.86768464407096,0.17366071178377482,0.17622561548023655,0.09682602832736412,1.2196122223374324,1.275658387062621,535.0495286083337,-0.10420179146514776
