start_i,start_j,t,robust_cost,nonfinite,status,barrier
2,4,0.40,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.45,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.50,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.55,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.60,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.65,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.70,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.75,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.80,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.85,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.90,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,0.95,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
2,4,1.00,304.4305897690158,False,ENDPOINT_SAVED,NOT_DETERMINABLE
3,4,0.00,304.43109814729934,False,ENDPOINT_SAVED,NOT_DETERMINABLE
3,4,0.05,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.10,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.15,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.20,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.25,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.30,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.35,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.40,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.45,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.50,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.55,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.60,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.65,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.70,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.75,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.80,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.85,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.90,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,0.95,,NOT_EVALUATED,NOT_AVAILABLE_WITHOUT_PAYLOAD_EVALUATOR,NOT_DETERMINABLE
3,4,1.00,304.4305897690158,False,ENDPOINT_SAVED,NOT_DETERMINABLE
