a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,3749,100,3749,1,0
A,C,A,2971,100,2971,1,0
A,D,A,5794,100,5794,1,0
A,E,A,1662,100,1662,1,0
A,F,A,4048,100,4048,1,0
A,G,A,3541,100,3541,1,0
A,H,A,5324,100,5324,1,0
A,B,A,3755,100,3755,1,0
A,C,A,2941,100,2941,1,0
A,D,A,5751,100,5751,1,0
A,E,A,1740,100,1740,1,0
A,F,A,4055,100,4055,1,0
A,G,A,3524,100,3524,1,0
A,H,A,5366,100,5366,1,0
A,B,A,3806,100,3806,1,0
A,C,A,2977,100,2977,1,0
A,D,A,5768,100,5768,1,0
A,E,A,1671,100,1671,1,0
A,F,A,4032,100,4032,1,0
A,G,A,3486,100,3486,1,0
A,H,A,5294,100,5294,1,0
A,B,A,3785,100,3785,1,0
A,C,A,2991,100,2991,1,0
A,D,A,5772,100,5772,1,0
A,E,A,1671,100,1671,1,0
A,F,A,4072,100,4072,1,0
A,G,A,3432,100,3432,1,0
A,H,A,5314,100,5314,1,0
A,B,A,3780,100,3780,1,0
A,C,A,3040,100,3040,1,0
A,D,A,5853,100,5853,1,0
A,E,A,1686,80,1686,1,0
A,F,A,4042,100,4042,1,0
A,G,A,3460,100,3460,1,0
A,H,A,5262,100,5262,1,0
A,B,A,3791,100,3791,1,0
A,C,A,2997,100,2997,1,0
A,D,A,5733,100,5733,1,0
A,E,A,1685,83,1685,1,0
A,F,A,4094,100,4094,1,0
A,G,A,3455,100,3455,1,0
A,H,A,5288,100,5288,1,0
A,B,A,3714,100,3714,1,0
A,C,A,2965,100,2965,1,0
A,D,A,5731,100,5731,1,0
A,E,A,1691,85,1691,1,0
A,F,A,4102,100,4102,1,0
A,G,A,3441,100,3441,1,0
A,H,A,5322,100,5322,1,0
A,B,A,3802,100,3802,1,0
A,C,A,2968,100,2968,1,0
A,D,A,5755,100,5755,1,0
A,E,A,1694,87,1694,1,0
A,F,A,4089,100,4089,1,0
A,G,A,3429,100,3429,1,0
A,H,A,5338,100,5338,1,0
A,B,A,3822,100,3822,1,0
A,C,A,2972,100,2972,1,0
A,D,A,5782,100,5782,1,0
A,E,A,1692,88,1692,1,0
A,F,A,4076,100,4076,1,0
A,G,A,3484,100,3484,1,0
A,H,A,5299,100,5299,1,0
A,B,A,3791,100,3791,1,0
A,C,A,2972,100,2972,1,0
A,D,A,5410,100,5410,1,0
A,E,A,1666,90,1666,1,0
A,F,A,4105,100,4105,1,0
A,G,A,3462,100,3462,1,0
A,H,A,5326,100,5326,1,0
A,B,A,3777,100,3777,1,0
A,C,A,2995,90,2995,1,0
A,D,A,5806,100,5806,1,0
A,E,A,1670,90,1670,1,0
A,F,A,4027,100,4027,1,0
A,G,A,3501,100,3501,1,0
A,H,A,5328,100,5328,1,0
A,B,A,3830,100,3830,1,0
A,C,A,2943,91,2943,1,0
A,D,A,5799,100,5799,1,0
A,E,A,1686,91,1686,1,0
A,F,A,4064,100,4064,1,0
A,G,A,3478,100,3478,1,0
A,H,A,5300,100,5300,1,0
A,B,A,3831,100,3831,1,0
A,C,A,2970,92,2970,1,0
A,D,A,5737,100,5737,1,0
A,E,A,1687,92,1687,1,0
A,F,A,4055,100,4055,1,0
A,G,A,3480,100,3480,1,0
A,H,A,5358,100,5358,1,0
A,B,A,3831,100,3831,1,0
A,C,A,2985,92,2985,1,0
A,D,A,5425,100,5425,1,0
A,E,A,1656,92,1656,1,0
A,F,A,4088,100,4088,1,0
A,G,A,3482,100,3482,1,0
A,H,A,5354,100,5354,1,0
A,B,A,3772,93,3772,1,0
A,C,A,2929,93,2929,1,0
