experiment_id,seed_id,wall_time_s,status,backend,device
X_A0_L19_I0_T11,S02,0.6882167740041041,ok,,
X_A0_L19_I0_T12,S02,0.8123609339963878,ok,,
X_A0_L19_I1_T11,S02,0.7104514570019091,ok,,
X_A0_L19_I1_T12,S02,0.7971850100002484,ok,,
X_A0_L19_I2_T11,S02,0.5783583629963687,ok,,
X_A0_L19_I2_T12,S02,0.8393666990014026,ok,,
X_A0_L19_I3_T11,S02,0.707994949996646,ok,,
X_A0_L19_I3_T12,S02,0.8400100439976086,ok,,
X_A0_L19_I4_T11,S02,0.42401490199699765,ok,,
X_A0_L19_I4_T12,S02,0.7974772980014677,ok,,
X_A0_L19_I5_T11,S02,0.6978424359986093,ok,,
X_A0_L19_I5_T12,S02,0.8235243349990924,ok,,
X_A0_L19_I6_T11,S02,0.6654059540014714,ok,,
X_A0_L19_I6_T12,S02,0.7952541519989609,ok,,
X_A0_L19_I7_T11,S02,0.6552895749991876,ok,,
X_A0_L19_I7_T12,S02,0.8166283079990535,ok,,
X_A0_L19_I8_T11,S02,0.4035836820039549,ok,,
X_A0_L19_I8_T12,S02,0.8290064679968054,ok,,
X_A1_L19_I0_T11,S02,0.43731007000315003,ok,,
X_A1_L19_I0_T12,S02,0.7961244129983243,ok,,
X_A1_L19_I1_T11,S02,0.6529363640001975,ok,,
X_A1_L19_I1_T12,S02,0.6380641719952109,ok,,
X_A1_L19_I2_T11,S02,0.48149882199504646,ok,,
X_A1_L19_I2_T12,S02,0.7734289479994914,ok,,
X_A1_L19_I3_T11,S02,0.6965022719959961,ok,,
X_A1_L19_I3_T12,S02,0.797463399998378,ok,,
X_A1_L19_I4_T11,S02,0.42761936299939407,ok,,
X_A1_L19_I4_T12,S02,0.6447928049965412,ok,,
X_A1_L19_I5_T11,S02,0.642406688995834,ok,,
X_A1_L19_I5_T12,S02,0.8193319860001793,ok,,
X_A1_L19_I6_T11,S02,0.6675456390003092,ok,,
X_A1_L19_I6_T12,S02,0.8214036989957094,ok,,
X_A1_L19_I7_T11,S02,0.43960200199944666,ok,,
X_A1_L19_I7_T12,S02,0.7606379639983061,ok,,
X_A1_L19_I8_T11,S02,0.6433081130016944,ok,,
X_A1_L19_I8_T12,S02,0.768461006002326,ok,,
X_A2_L19_I0_T11,S02,0.6416223609994631,ok,,
X_A2_L19_I0_T12,S02,0.47771462200034875,ok,,
X_A2_L19_I1_T11,S02,0.6414481579995481,ok,,
X_A2_L19_I1_T12,S02,0.8173269469989464,ok,,
X_A2_L19_I2_T11,S02,0.6882091250008671,ok,,
X_A2_L19_I2_T12,S02,0.7605651780031621,ok,,
X_A2_L19_I3_T11,S02,0.4105050910002319,ok,,
X_A2_L19_I3_T12,S02,0.5058036600021296,ok,,
X_A2_L19_I4_T11,S02,0.6451203399992664,ok,,
X_A2_L19_I4_T12,S02,0.9240960919996724,ok,,
X_A2_L19_I5_T11,S02,0.6488420059977216,ok,,
X_A2_L19_I5_T12,S02,0.6056019300012849,ok,,
X_A2_L19_I6_T11,S02,0.4256740830023773,ok,,
X_A2_L19_I6_T12,S02,0.8158615619977354,ok,,
X_A2_L19_I7_T11,S02,0.6896595419966616,ok,,
X_A2_L19_I7_T12,S02,0.9138978990013129,ok,,
X_A2_L19_I8_T11,S02,0.6426172989959014,ok,,
X_A2_L19_I8_T12,S02,0.920715314001427,ok,,
X_A3_L19_I0_T11,S02,0.42525975800526794,ok,,
X_A3_L19_I0_T12,S02,0.4851321550013381,ok,,
X_A3_L19_I1_T11,S02,0.5920385829958832,ok,,
X_A3_L19_I1_T12,S02,0.858863151006517,ok,,
