host_elapsed_s,listener_t_ms,seq,pan,src,dst,code,q,level,cir,rxpacc,fp1,len
117.768,1312873,10027,0xdeca,0xb102,0xa100,0xe0,17973,7,2041,122,3699,12
117.780,1312886,10028,0xdeca,0xb102,0xa104,0xe0,18468,7,2063,121,6666,12
117.874,1312979,10029,0xdeca,0xb101,0xa100,0xe0,15917,7,1778,121,7217,12
117.886,1312992,10030,0xdeca,0xb101,0xa104,0xe0,16000,7,1817,122,7047,12
121.203,1316309,10031,0xdeca,0xb102,0xa100,0xe0,16946,7,1893,121,7319,12
121.215,1316321,10032,0xdeca,0xb102,0xa105,0xe0,19822,7,2251,122,7452,12
121.803,1316909,10033,0xdeca,0xb101,0xa100,0xe0,15863,7,1772,121,7020,12
121.816,1316922,10034,0xdeca,0xb101,0xa105,0xe0,14609,7,1659,122,7201,12
122.215,1317321,10035,0xdeca,0xb102,0xa100,0xe0,18538,7,2210,125,7452,12
122.228,1317334,10036,0xdeca,0xb102,0xa104,0xe0,17101,7,1942,122,7460,12
122.271,1317377,10037,0xdeca,0xb103,0xa104,0xe0,19220,7,2147,121,1629,12
122.470,1317576,10038,0xdeca,0xb103,0xa100,0xe0,20280,7,2303,122,1994,12
122.670,1317776,10039,0xdeca,0xb103,0xa104,0xe0,18098,7,2089,123,2236,12
122.770,1317871,10040,0xdeca,0xb101,0xa100,0xe0,19042,7,2198,123,7173,12
122.777,1317883,10041,0xdeca,0xb101,0xa105,0xe0,22327,8,2453,120,7192,12
122.871,1317977,10042,0xdeca,0xb103,0xa100,0xe0,17262,7,2025,124,2624,12
123.070,1318176,10043,0xdeca,0xb103,0xa104,0xe0,19603,7,2118,119,1325,12
123.135,1318241,10044,0xdeca,0xb102,0xa100,0xe0,18403,7,1955,118,6932,12
123.147,1318253,10045,0xdeca,0xb102,0xa104,0xe0,16267,7,1699,117,5104,12
123.268,1318374,10046,0xdeca,0xb103,0xa100,0xe0,18374,7,1919,117,5009,12
123.467,1318574,10047,0xdeca,0xb103,0xa104,0xe0,18886,7,2180,123,1056,12
123.480,1318586,10048,0xdeca,0xa107,0xb103,0xe1,19605,7,2190,121,6989,20
123.669,1318775,10049,0xdeca,0xb103,0xa100,0xe0,19390,7,2166,121,645,12
123.694,1318787,10050,0xdeca,0xb101,0xa100,0xe0,21503,7,2482,123,7070,12
123.871,1318977,10051,0xdeca,0xb103,0xa104,0xe0,18000,7,1880,117,4486,12
124.070,1319176,10052,0xdeca,0xb103,0xa100,0xe0,18546,7,1937,117,1469,12
