host_elapsed_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
123.485,1318586,42,H,7,0xa107,0xb103,0xe1,19605,7,2190,121,6989,20
124.351,1319451,43,D,3,0xa103,0xb102,0xe1,17304,7,2030,124,3277,20
124.554,1319655,44,E,4,0xa104,0xb102,0xe1,16878,7,1980,124,4354,20
124.701,1319801,45,E,4,0xa104,0xb101,0xe1,16344,7,1707,117,2097,20
