experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,T,kind,seed_id,experiment_uid,delta_vs_B0_trackmedian_err3d_p50_mm,delta_vs_B0_trackmedian_err3d_p95_mm,delta_vs_B0_sample_err3d_rmse_mm,delta_vs_B0_legacy_deltaR_error_rms_mm,delta_vs_B0_trackmedian_radius_error_abs_mm,verdict,screening_score,L,I,R
B0_A0_U4_P0_T1,online_deployable_uwb_only,Phase 3 repeated B0 control.,34,17,40661,102.63336074100665,208.3503804473449,256.9324074144989,141.2659848479643,40661,66.14323345844781,145.82607164755368,178.9530610667181,93.41834672726387,40661,61.57092076688957,163.1159939953268,205.89630418252534,105.96740522354024,105.83784720842489,231.80213799547772,132.8297379891087,167.47209082957747,187.38314568289843,81.85817424679978,68.97030504345278,38.73430278830949,59.73216676551942,97.22019722085115,173.57057176081128,nan,nan,nan,nan,nan,nan,nan,nan,17,80.07935390701411,26.37186507012177,172.16272100899008,A0,U4,P0,T1,baseline,S00,B0_A0_U4_P0_T1__S00,0.0,0.0,0.0,0.0,0.0,BASELINE_UWB_ONLY,272.8902266245117,,,
X_A0_L2_I0_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I0/S00.,34,17,40661,11325.062456833979,47190.07158595577,59572.4607576256,27292.968010873134,40661,8668.934748761993,38339.121048188106,50493.82602336811,22728.6232016963,40661,3914.8450247398005,25007.58391895033,34241.02888262405,15110.12211062031,13289.961610521907,47978.74874426899,23665.003266052154,35685.56579176268,22506.018370263526,70191.69903937166,69448.2162090384,5844.052169069004,68668.27063610812,478.52817274145855,906.2255910004862,53446.79508499218,39418.53943550422,445.64758185975063,nan,nan,nan,nan,nan,17,278434.7137630034,129952.60491865841,494436.0528544737,A0,,,T11,imu_only,S00,X_A0_L2_I0_T11__S00,13184.123763313482,47746.94660627351,27151.70202602517,278354.6344090964,68608.5384693426,IMU_ONLY_DRIFTS_AS_EXPECTED,259320.95862317248,L2,I0,
X_A0_L2_I1_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I1/S00.,34,17,40661,5934.4388614543395,25168.875289905984,31483.575782498432,14372.675061759594,40661,4671.259040711928,21583.85408140034,28062.68775672548,12511.641188449626,40661,1367.5709799266613,12206.638473896515,17172.589157829963,7073.374244476036,5936.7509568506375,27282.820775185326,12966.57377159214,21460.714145803275,8856.29366884699,25007.795927593183,24878.708144439413,2383.611996827498,21585.927915493587,491.6173848955732,922.9438715003453,30642.509538843085,23995.447071828414,255.6576138828461,nan,nan,nan,nan,nan,17,64185.52658318187,20193.295482867423,129358.36240859437,A0,,,T11,imu_only,S00,X_A0_L2_I1_T11__S00,5830.9131096422125,27051.01863718985,14231.40907691163,64105.447229274854,21526.195748728067,IMU_ONLY_DRIFTS_AS_EXPECTED,71208.5707941396,L2,I1,
X_A0_L2_I2_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I2/S00.,34,17,40661,5766.440409082088,25046.210404548736,31731.04325648744,14325.66711890678,40661,4550.70202192817,21112.395173152363,27645.604163872205,12289.497555371543,40661,1849.4944127434323,12696.14459703809,17796.914407332442,7361.588703414753,6593.227669089974,27011.386750823156,12970.4667019579,20911.826433180395,9650.760849286606,23656.899577023905,23353.176006170153,2590.9522481704807,22349.703851558916,450.9902322574885,846.45236495921,29874.51407935199,23713.73541162274,249.0735539483053,nan,nan,nan,nan,nan,17,74953.3707552007,50524.00426155031,118707.61905074657,A0,,,T11,imu_only,S00,X_A0_L2_I2_T11__S00,6487.389821881549,26779.58461282768,14184.401134058817,74873.29140129368,22289.971684793396,IMU_ONLY_DRIFTS_AS_EXPECTED,79689.42448629801,L2,I2,
X_A0_L2_I3_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I3/S00.,34,17,40661,2742.3967291635972,12025.124459855033,14878.313045104009,6752.395293354057,40661,2008.9265571836684,10162.896114518879,12655.120485960251,5505.252898467803,40661,1034.4902335253241,6776.597142209741,8654.928124194576,3909.8635170069388,2966.9858359977825,13816.503293397745,6302.946137084966,11415.24433938808,7252.037056772286,10254.223100944106,9590.820346130147,1496.572723039614,7706.499481336152,526.6840360989326,986.6281179966062,15702.496674077704,12924.51830674784,130.91766197124565,nan,nan,nan,nan,nan,17,14370.749973609229,8950.018327932352,28776.523982443938,A0,,,T11,imu_only,S00,X_A0_L2_I3_T11__S00,2861.1479887893574,13584.701155402268,6611.1293085060925,14290.670619702214,7646.767314570632,IMU_ONLY_DRIFTS_AS_EXPECTED,21715.536710881526,L2,I3,
X_A0_L2_I4_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I4/S00.,34,17,40661,4132.385691702335,18285.09902041694,22393.71834579842,10174.90725088665,40661,2787.8106612793026,14529.022831322227,18799.821628260794,8205.343484235778,40661,1780.060784198396,10499.66449391657,14377.288526859586,6016.732989742457,5149.483479399918,19834.23587615978,9660.5013319225,15105.60428738709,9288.56278155107,13699.833709822497,13532.250272374356,2587.358880013604,11620.371717779639,493.57411421375446,906.5393376476475,22066.688572632316,17090.426078769764,189.51490263639414,nan,nan,nan,nan,nan,17,33560.38506570952,14429.415118967147,66209.46847714485,A0,,,T11,imu_only,S00,X_A0_L2_I4_T11__S00,5043.645632191493,19602.4337381643,10033.641266038687,33480.3057118025,11560.63955101412,IMU_ONLY_DRIFTS_AS_EXPECTED,41393.921440942315,L2,I4,
X_A0_L2_I5_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I5/S00.,34,17,40661,2866.0928600197985,11053.77398750428,13296.156362668386,6384.303136349165,40661,2224.4605315928247,9135.469963158837,11209.379602607045,5301.772286707344,40661,1000.5084029289593,6022.813877434305,8269.028508332249,3556.759361652086,3150.4809344242612,12117.774208832012,5864.1692877922,9598.12946281664,5352.6260342839905,8706.548492029395,8653.464544780218,1051.8074696151846,6297.235505589799,480.52527029734495,881.4894808264171,13449.835703126828,10765.125508809935,112.18046657873964,nan,nan,nan,nan,nan,17,14457.30268317366,6298.268326859865,37210.21549074802,A0,,,T11,imu_only,S00,X_A0_L2_I5_T11__S00,3044.643087215836,11885.972070836535,6243.0371515012,14377.223329266646,6237.503338824279,IMU_ONLY_DRIFTS_AS_EXPECTED,20660.431538531928,L2,I5,
X_A0_L2_I6_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I6/S00.,34,17,40661,3298.0228144206744,15130.969622294804,18879.780032647635,8351.836278395172,40661,2232.0682973603552,11909.410382865994,15442.672733569094,6782.527948626317,40661,1139.9473955842745,8813.761279046672,11872.864032330719,4873.446813829061,4082.340691753875,16535.259353136295,8012.409107255195,11680.825498999226,5851.419591370393,11434.6619880605,11426.901086849353,1892.0502755051725,5471.404430970726,535.9305394172693,1002.7567920588722,18165.383205548664,12969.218101599246,151.45835140424128,nan,nan,nan,nan,nan,17,31657.850988616992,12703.679275322973,68207.21196432383,A0,,,T11,imu_only,S00,X_A0_L2_I6_T11__S00,3976.50284454545,16303.457215140817,8210.570293547209,31577.771634709978,5411.672264205206,IMU_ONLY_DRIFTS_AS_EXPECTED,34765.87937286883,L2,I6,
X_A0_L2_I7_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I7/S00.,34,17,40661,5405.372236426847,20463.876386906257,25794.97603436105,11884.832627431142,40661,4111.572109401956,16529.774673586227,20940.266446801943,9795.337587770535,40661,1579.1340511568894,11859.479899346317,15406.286385041813,6730.572644557187,5687.934014989469,21050.833993742912,10593.25105258427,16631.036022962442,11638.645849195294,16886.315289921615,16872.719846825894,2966.1148668590104,14873.778010524326,473.6217770826786,874.0348675710397,23513.99483716896,18865.253956698292,196.05699106972486,nan,nan,nan,nan,nan,17,44104.786775752335,23976.807147507145,86315.09943077719,A0,,,T11,imu_only,S00,X_A0_L2_I7_T11__S00,5582.096167781044,20819.031855747435,11743.566642583179,44024.70742184532,14814.045843758806,IMU_ONLY_DRIFTS_AS_EXPECTED,51365.96566108829,L2,I7,
X_A0_L2_I8_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I8/S00.,34,17,40661,4102.252695931614,15624.291976356266,19955.332946533297,9066.295391099775,40661,3015.9329852843216,12188.538129549388,15292.604622086425,7092.47475493545,40661,1650.85963678765,9462.544962559201,12790.280783702508,5647.522817065936,4311.086586418808,15688.640245828467,7720.576316325598,13136.528166383188,8777.521713356899,11150.597631162906,10798.828062448021,2422.0398052561277,7187.987101010296,569.2515081352135,1090.6095233047308,17427.0896316153,14549.233550900688,145.36229715698857,nan,nan,nan,nan,nan,17,15752.862669478975,7507.574668128811,21182.587042848223,A0,,,T11,imu_only,S00,X_A0_L2_I8_T11__S00,4205.248739210383,15456.83810783299,8925.029406251811,15672.78331557196,7128.254934244776,IMU_ONLY_DRIFTS_AS_EXPECTED,24423.1080915992,L2,I8,
