host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,diag_source,tr_diag_version,rfd_version,poll_seq,anchor_id,raw_mm,resp_rx_ts,carrier_integrator,anchor_diag_valid,anchor_diag_flags,anchor_fp_index,anchor_fp1,anchor_fp2,anchor_fp3,anchor_fp_sum,anchor_fp_sum_q8,anchor_cir_pwr,anchor_cir_pwr_q8,anchor_rxpacc,anchor_rxpacc_q8,anchor_std_noise,tag_diag_valid,tag_diag_flags,tag_fp_index,tag_fp1,tag_fp2,tag_fp3,tag_fp_sum,tag_fp_sum_q8,tag_cir_pwr,tag_cir_pwr_q8,tag_rxpacc,tag_rxpacc_q8,tag_std_noise,anchor_temp_raw,anchor_vbat_raw
2.9e-05,1783686842.545017,2091010,,BS9336,2,rfd_legacy,,1,226,0,2862,4036805853,628,1,3,47621,6197,6670,6643,19510,76,2382,9,121,121,48,0,0,0,0,0,0,0,0,0,0,0,0,0,53,119
0.000194,1783686842.545182,2091010,,BS9336,2,rfd_legacy,,1,226,4,2510,3983025,3222,1,3,47725,6624,6411,4450,17485,68,2037,8,124,124,44,0,0,0,0,0,0,0,0,0,0,0,0,0,100,161
0.000227,1783686842.545215,2091010,,BS9336,2,rfd_legacy,,1,226,1,2086,4102341337,-1628,1,3,47884,2033,7100,6459,15592,61,2086,8,122,122,48,0,0,0,0,0,0,0,0,0,0,0,0,0,114,123
0.018654,1783686842.563642,2091010,,BS9336,2,rfd_legacy,,1,226,5,2020,69516512,-5928,1,3,47647,7446,7399,6183,21028,82,2187,9,120,120,64,0,0,0,0,0,0,0,0,0,0,0,0,0,142,120
0.020813,1783686842.565801,2091010,,BS9336,2,rfd_legacy,,1,226,2,3205,4167877999,1242,1,3,48096,3050,6942,5723,15715,61,1764,7,119,119,56,0,0,0,0,0,0,0,0,0,0,0,0,0,161,254
0.023254,1783686842.568242,2091010,,BS9336,2,rfd_legacy,,1,226,6,3137,135056235,5850,1,3,47837,4943,6891,5707,17541,69,1924,8,121,121,48,0,0,0,0,0,0,0,0,0,0,0,0,0,24,171
0.042156,1783686842.587144,2091010,,BS9336,2,rfd_legacy,,1,226,3,3604,4233414462,1660,1,3,48042,5739,6731,4733,17203,67,1969,8,124,124,60,0,0,0,0,0,0,0,0,0,0,0,0,0,248,1
0.04277,1783686842.587758,2091010,,BS9336,2,rfd_legacy,,1,226,7,3239,200590778,1138,1,3,47960,2905,4900,3718,11523,45,1988,8,124,124,48,0,0,0,0,0,0,0,0,0,0,0,0,0,125,33
1.178083,1783686843.723071,2091020,,BS9336,2,rfd_legacy,,1,236,0,2843,3409124566,587,1,3,47848,5946,6679,4802,17427,68,1844,7,118,118,44,0,0,0,0,0,0,0,0,0,0,0,0,0,25,239
1.194959,1783686843.739947,2091020,,BS9336,2,rfd_legacy,,1,236,4,2582,3671268914,3133,1,3,48049,6617,6526,4280,17423,68,1881,7,118,118,48,0,0,0,0,0,0,0,0,0,0,0,0,0,144,161
1.198616,1783686843.743604,2091020,,BS9336,2,rfd_legacy,,1,236,1,2132,3474659920,-1625,1,3,47819,2203,6682,6241,15126,59,1952,8,124,124,44,0,0,0,0,0,0,0,0,0,0,0,0,0,244,55
1.199745,1783686843.744733,2091020,,BS9336,2,rfd_legacy,,1,236,5,2054,3736802570,-5914,1,3,47955,7037,7093,6744,20874,82,2105,8,117,117,56,0,0,0,0,0,0,0,0,0,0,0,0,0,186,125
