case_id,report_label,experiment,layout_solver,layout_variant,delay_mode,tag_method,scale_source,n_sessions,frames_solved_total,frames_input_total,err_3d_median_mm,err_3d_p75_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_xz_median_mm,err_horizontal_xz_p95_mm,err_vertical_y_median_mm,err_vertical_y_p95_mm,d3_std_median_mm,residual_rms_median_mm
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,T4,OptiTrack truth anchors,24,28818,28818,307.27071843000545,351.46014757249395,453.44791445260194,311.31901004962606,76.66825222634344,125.11034903576163,301.58062187972155,438.2961816191024,76.49535554229826,134.48895635391017
D2,"Vicon coords, transplanted AutoPos delays",align_to_vicon,v4-io,vicon_truth,solver_delay,T4,OptiTrack truth anchors,24,28818,28818,254.87759093675305,292.7184232483237,394.57139638447234,252.16537173335934,72.19540906803189,135.27097110342444,239.95003942925732,372.0119162166625,72.54596453776976,118.42642913249409
C,"Vicon coords, re-estimated delays in-frame",align_to_vicon,v4-io,vicon_truth,vicon_inter_anchor_delaycal,T4,OptiTrack truth anchors,24,28818,28818,64.09048082988876,102.95808259859669,128.3843598352106,77.67175013600712,40.34614213574806,81.28621990750632,44.455447152428476,112.83427844950873,59.78332300936975,91.30708111727935
A,"AutoPos v4-io coords, co-fitted delays",scale_to_vicon,v4-io,original_rigid_no_scale,solver_delay,T4,rigid_no_scale,24,28818,28818,69.62400691469796,132.1981032272944,174.06635331236225,108.93074979421445,37.51038541570948,75.1450020343184,59.98082139238045,172.8630191836741,67.44115764606255,79.59724289805987
