case_id,report_label,experiment,layout_solver,layout_variant,delay_mode,scale_source,alignment_frame,tag_method,ID,capture,location,height,facing,frames_input,frames_solved,solve_fraction,point_estimator,solved_x_mm,solved_y_vertical_mm,solved_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,err_horizontal_xz_mm,err_vertical_y_mm,tag_truth_source,tag_truth_corrected,d3_std_mm,d3_p95_mm,residual_rms_median_mm,residual_rms_p95_mm,anchors_input_median,anchors_used_median,pct_frames_ge8_anchors_input,anchor_fit_det,anchor_fit_scale
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,OptiTrack truth anchors,OptiTrack,T4,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,1201,1201,1.0,median,-474.7709293923873,-154.59429314347716,-368.13950626867756,-542.215344349341,182.54280058407934,-383.3240609304319,67.44441495695366,-337.1370937275565,15.184554661754362,344.15220437507696,69.13262478136905,337.1370937275565,reconstructed_from_relabelled_balls,True,65.25712422011111,138.20779758372882,103.60885696749499,164.41287627481705,8.0,8.0,91.75686927560366,,
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,OptiTrack truth anchors,OptiTrack,T4,ID02,static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,1201,1201,1.0,median,-590.2898549903898,1340.9642706528673,-197.46559842891494,-543.22998,1105.589,-259.92136,-47.05987499038986,235.37527065286736,62.45576157108505,248.0259503004593,78.20072881716222,235.37527065286736,motive_iantenna,False,73.0188684591587,125.44447358582724,132.63083078366657,217.09190038845475,8.0,8.0,95.67027477102414,,
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,OptiTrack truth anchors,OptiTrack,T4,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,1201,1201,1.0,median,-621.3726759994429,2125.198647910321,-273.5751664585534,-554.00287,1625.5614500000001,-256.2951,-67.36980599944286,499.637197910321,-17.280066458553392,504.4547759640024,69.55063951693464,499.637197910321,motive_iantenna,False,68.78625829660479,132.1625215572396,136.31183044653753,202.64334013938014,8.0,8.0,92.2564529558701,,
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,OptiTrack truth anchors,OptiTrack,T4,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,1201,1201,1.0,median,-228.9437061508164,-262.8719658007467,556.5811070075619,-321.178815,182.16379,479.93381999999997,92.23510884918358,-445.0357558007467,76.64728700756189,460.9109955850285,119.92548482303629,445.0357558007467,motive_iantenna,False,59.05015677764313,124.26723695667506,110.50499396673803,136.8639713229244,8.0,8.0,93.83846794338052,,
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,OptiTrack truth anchors,OptiTrack,T4,ID05,static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,1200,1200,1.0,median,-216.00633280971178,1351.6767672223768,563.4596058092764,-184.9818897969324,1103.5866165595767,473.70402893394925,-31.024443012779386,248.09015066280017,89.75557687532711,265.64506865433594,94.96620264323488,248.09015066280017,reconstructed_from_relabelled_balls,True,239.43347394195175,760.8007391963329,216.65392187577083,366.5635293136883,8.0,8.0,91.5,,
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,OptiTrack truth anchors,OptiTrack,T4,ID06,static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,1201,1201,1.0,median,-232.9426724309291,2033.6843471146312,503.80082101733916,-193.231255,1684.95255,476.52297999999996,-39.71141743092909,348.73179711463126,27.2778410173392,352.0439512386786,48.17755997288293,348.73179711463126,motive_iantenna,False,67.92520335198799,141.29844643755106,113.79998480150431,200.48430813781658,8.0,8.0,92.83930058284763,,
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,OptiTrack truth anchors,OptiTrack,T4,ID07,static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,1201,1201,1.0,median,359.3892435135994,-178.0895938847532,128.58184500279836,352.14755,211.565355,53.795866000000004,7.241693513599387,-389.65494888475325,74.78597900279836,396.83291694456443,75.13577563552468,389.65494888475325,motive_iantenna,False,74.17683187043968,155.2939798478756,85.84279480432986,177.84644263636292,8.0,8.0,90.84096586178185,,
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,OptiTrack truth anchors,OptiTrack,T4,ID08,static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,1201,1201,1.0,median,573.2620442488292,1370.7889613765362,-60.58857470666568,391.90054,1132.2804,-71.53192899999999,181.3615042488292,238.50856137653614,10.943354293334309,299.83009534816955,181.69136530552993,238.50856137653614,motive_iantenna,False,78.81387921415684,135.35599161031345,158.40820653653932,200.27842119823546,8.0,8.0,90.25811823480433,,
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,OptiTrack truth anchors,OptiTrack,T4,ID09,static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,1201,1201,1.0,median,413.34453930521715,1881.4345431850636,-6.484963725360487,408.80994,1568.1853500000002,-62.425788499999996,4.534599305217171,313.2491931850634,55.94082477463951,318.23732574671214,56.1243126223012,313.2491931850634,motive_iantenna,False,101.83617520598507,139.3471352795715,136.1334336290558,255.63300056406072,8.0,8.0,93.42214820982515,,
D1,"Vicon coords, no residual correction",align_to_vicon,v4-io,vicon_truth,zero_delay,OptiTrack truth anchors,OptiTrack,T4,ID10,static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,1201,1201,1.0,median,114.06742899979541,-33.61892301628767,-1054.0755152636766,65.499245,238.64973,-938.19342,48.56818399979541,-272.26865301628766,-115.88209526367666,299.86288185609345,125.64843214198025,272.26865301628766,motive_iantenna,False,73.08286485958058,138.11514694566475,116.69713717236677,154.7970688390864,8.0,8.0,90.75770191507078,,
