key,value
official_root,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official
v4io_layout,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json
point_estimator,median
tag_method,T4
n_static_files,24
delaycal_tag_delay_mm,91.1531908592
delaycal_anchor_A_mm,148.393135951
autopos_anchor_A_mm,0
delaycal_anchor_B_mm,96.440503015
autopos_anchor_B_mm,37.1270971973
delaycal_anchor_C_mm,127.202528229
autopos_anchor_C_mm,60
delaycal_anchor_D_mm,114.727598066
autopos_anchor_D_mm,60
delaycal_anchor_E_mm,49.200731189
autopos_anchor_E_mm,31.1432267747
delaycal_anchor_F_mm,50.5406992742
autopos_anchor_F_mm,27.0425198016
delaycal_anchor_G_mm,85.8658787035
autopos_anchor_G_mm,27.5587232857
delaycal_anchor_H_mm,85.4919477729
autopos_anchor_H_mm,32.4190767479
autopos_tag_delay_mm,0
