case_id,report_label,computed_rmse_mm,frozen_rmse_mm,delta_rmse_mm,computed_median_mm,frozen_median_mm,delta_median_mm,computed_p95_mm,frozen_p95_mm,delta_p95_mm
D1,"Vicon coords, no residual correction",311.31901004962606,311.3,0.01901004962604702,307.27071843000545,307.3,-0.029281569994566325,453.44791445260194,453.4,0.047914452601958146
D2,"Vicon coords, transplanted AutoPos delays",252.16537173335934,252.2,-0.03462826664065233,254.87759093675305,254.9,-0.02240906324695402,394.57139638447234,394.6,-0.028603615527686088
C,"Vicon coords, re-estimated delays in-frame",77.67175013600712,77.7,-0.028249863992883206,64.09048082988876,64.1,-0.009519170111232711,128.3843598352106,128.4,-0.01564016478940289
A,"AutoPos v4-io coords, co-fitted delays",108.93074979421445,108.9,0.030749794214443682,69.62400691469796,69.8,-0.17599308530203928,174.06635331236225,173.9,0.16635331236224715
