layout_solver,layout_variant,delay_mode,tag_method,n_sessions,frames_solved_total,frames_input_total,err_3d_median_mm,err_3d_p75_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_xz_median_mm,err_horizontal_xz_p95_mm,err_vertical_y_median_mm,err_vertical_y_p95_mm,d3_std_median_mm,residual_rms_median_mm
v1-old,original_rigid_no_scale,solver_delay,T1,24,28818,28818,157.76149400508362,230.54687547294347,327.5626397323115,193.160645620171,53.941892037723434,85.01983336402398,140.3095037429075,320.3582722655434,63.03053311115049,88.65564042376785
v1-old,original_rigid_no_scale,solver_delay,T2,24,28818,28818,157.61981336808066,230.41500507964025,327.4513277099579,193.0968412854565,53.52251309108,85.43887338924839,140.80234091852356,320.2884246678834,62.84307345374199,88.67017000425541
v1-old,original_rigid_no_scale,solver_delay,T3,24,28818,28818,121.39310250117363,188.70789599352068,318.3324311154303,168.59105214449892,55.92503851416603,103.0405386212577,96.5121396748549,308.09856163503736,64.52748451453456,92.88965388053975
v1-old,original_rigid_no_scale,solver_delay,T4,24,28818,28818,132.99935541184797,193.1423086970949,236.99093111176614,160.32824486725704,50.17343603363223,82.6322914367867,120.88192320337932,235.71059538719877,68.00884899793606,89.47006206162283
v1-old,solver_similarity_scale_to_vicon,scaled_layout_inter_anchor_delaycal,T1,24,28818,28818,63.02548064798154,93.89795253995842,139.85186324430643,79.39149942730137,41.64297008005238,81.97721127653611,40.19063616786744,122.88823827947198,60.881945715439684,94.51578175208272
v1-old,solver_similarity_scale_to_vicon,scaled_layout_inter_anchor_delaycal,T2,24,28818,28818,61.07788356664325,93.80933173549107,139.38414724529443,79.00617365728525,40.93125210625149,79.67697606597292,39.5362209108489,123.40242830859854,60.42229892023754,94.66838002521129
v1-old,solver_similarity_scale_to_vicon,scaled_layout_inter_anchor_delaycal,T3,24,28818,28818,74.84709838006404,107.7920110713466,169.64374342389684,96.07671805545085,38.24758135234967,99.87680759674497,55.04497659077445,150.5959980368702,57.46359536738586,100.95798097130992
v1-old,solver_similarity_scale_to_vicon,scaled_layout_inter_anchor_delaycal,T4,24,28818,28818,62.128613966092544,97.2734745416376,142.46636987251821,80.7631990550988,40.6652256016145,85.97229837063753,41.945355631858206,124.30933622285262,62.477270497621745,94.80276117331633
v1-old,solver_similarity_scale_to_vicon,solver_delay,T1,24,28818,28818,331.23878303814837,428.9079316787106,478.75461964348494,357.02972005591585,76.05520652274672,183.31525308441516,303.61655094748386,470.2054866517625,70.16913015014917,139.19268471541722
v1-old,solver_similarity_scale_to_vicon,solver_delay,T2,24,28818,28818,331.1158860960152,426.23269154141013,478.29452957477275,356.89862008696565,77.44282686861018,184.6438624432896,303.53982369222723,469.75073893032703,70.67978188189781,139.22771427707977
