capture_id,tag,raw_range_path,frames,ge4_ratio,full8_ratio,valid_anchor_count_median,bias_rows
R01,BS2DCE,captures/erlangen_20260528_optitrack/roto_R01_BS2DCE_BSDC91_120s_20260528_125256/tag_capture_20260528_125256/tr_all.csv,1201,1.0,0.9542048293089093,8.0,8
R01,BSDC91,captures/erlangen_20260528_optitrack/roto_R01_BS2DCE_BSDC91_120s_20260528_125256/tag_capture_20260528_125256/tr_all.csv,1200,1.0,0.9416666666666667,8.0,8
R02,BS2DCE,captures/erlangen_20260528_optitrack/roto_R02_BS2DCE_BSDC91_120s_20260528_125658/tag_capture_20260528_125658/tr_all.csv,1201,1.0,0.9159034138218152,8.0,8
R02,BSDC91,captures/erlangen_20260528_optitrack/roto_R02_BS2DCE_BSDC91_120s_20260528_125658/tag_capture_20260528_125658/tr_all.csv,1200,1.0,0.95,8.0,8
R03,BS2DCE,captures/erlangen_20260528_optitrack/roto_R03_BS2DCE_BSDC91_120s_20260528_130023/tag_capture_20260528_130023/tr_all.csv,1049,1.0,0.9561487130600572,8.0,8
R03,BSDC91,captures/erlangen_20260528_optitrack/roto_R03_BS2DCE_BSDC91_120s_20260528_130023/tag_capture_20260528_130023/tr_all.csv,1200,1.0,0.94,8.0,8
R04,BS2DCE,captures/erlangen_20260528_optitrack/roto_R04_BS2DCE_BSDC91_120s_20260528_130347/tag_capture_20260528_130347/tr_all.csv,1200,1.0,0.9191666666666667,8.0,8
R04,BSDC91,captures/erlangen_20260528_optitrack/roto_R04_BS2DCE_BSDC91_120s_20260528_130347/tag_capture_20260528_130347/tr_all.csv,1200,1.0,0.9266666666666666,8.0,8
R05,BS2DCE,captures/erlangen_20260528_optitrack/roto_R05_BS2DCE_BSDC91_120s_20260528_130811/tag_capture_20260528_130811/tr_all.csv,1200,1.0,0.9691666666666666,8.0,8
R05,BSDC91,captures/erlangen_20260528_optitrack/roto_R05_BS2DCE_BSDC91_120s_20260528_130811/tag_capture_20260528_130811/tr_all.csv,1201,1.0,0.9367194004995837,8.0,8
