experiment_id,stage,gate_id,seed_index,seed,capture_id,tag,endpoint_drift_3d_mm,endpoint_drift_xz_mm,endpoint_drift_y_mm,drift_rate_3d_mm_s,drift_p50_mm,drift_p95_mm
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,48972733,R01,BS2DCE,34619.98312906564,34260.91088144748,4973.250187784894,288.58899011847836,9107.84575935944,31213.578722133763
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,1308647759,R01,BSDC91,28148.703443069902,10494.868498428224,26119.097241799805,234.71493219757122,6294.26748477671,25000.575158946293
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,1978025982,R02,BS2DCE,15341.68151016308,11146.28790801675,10541.700879406477,127.85685314053043,3887.169691360054,13952.000526164278
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,1283298911,R02,BSDC91,26214.832674907353,24873.29650798715,8278.681839468436,218.62306698244348,6418.054104442961,23635.170712934603
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,49485203,R03,BS2DCE,8620.828609229557,8591.896741805227,705.6885204306043,82.17874736441586,2336.3784763782414,7554.320209147344
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,2031098560,R03,BSDC91,24011.023848911023,19790.6817161311,13596.256230439618,200.2513990221462,3117.506714142317,20502.39768806514
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,1590419141,R04,BS2DCE,27688.213863237568,27347.47545750736,4330.447209863404,230.93609150955078,4884.999212489149,24081.590870174325
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,1670111964,R04,BSDC91,50940.31313447302,47453.69645105722,18521.938218477135,424.8730491843081,9979.658793313221,45357.61121316198
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,2061528901,R05,BS2DCE,33247.51461492705,21620.6825424183,25257.53975488817,277.2905315004078,6327.432029829566,29325.03098457171
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,658276309,R05,BSDC91,35067.48638121573,33121.38701495231,11519.64944355941,292.2369825402573,7613.023606614253,31203.461079276167
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,338844816,R06,BS2DCE,11548.102828497069,10442.104455575594,4931.646122380469,96.30996129694293,3228.168673148666,10545.786409828657
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,1981521172,R06,BSDC91,43344.077406549484,16603.984343135253,40037.69161874687,361.25950024816115,11305.295946412329,39233.039999826404
X_A0_L2_I3_T11,stage0_gate_fulfillment,G5_noise_seed_repeats,0,2107848566,R07,BS2DCE,10329.381421509293,8769.077448873557,5458.88278374601,86.15664567762835,3288.8323004482886,9286.778721819825
