version,ID,path,location,height,facing,status,N_frames,mean_x,mean_y,mean_z,X_std,Y_std,Z_std,D3_std,radial_p50,radial_p75,radial_p95,radial_max,median_anchors,pct_ge7,pct_ge8
v2,ID01,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID01_20260513_152958,edge,low,ABEF,ok,601,1473.684884116979,1113.509288937187,67.11349141392898,26.418658471666486,21.349481699865986,33.243060049929966,47.52732819945507,40.289840599708285,54.22905284023017,77.3964123901625,168.33446623008794,7.0,99.66722129783693,24.958402662229616
v2,ID02,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID02_20260513_153316,edge,mid,ABEF,ok,601,1677.74995610055,1074.0896477149936,-785.8418931677271,18.44932518160162,17.2293460303164,40.95123858659571,48.10646428563571,39.30749440397288,54.861200824524445,82.61405796269266,173.28272356535186,7.0,99.83361064891847,26.955074875207984
v2,ID03,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID03_20260513_154008,edge,high,ABEF,ok,600,1625.5972722234694,1089.9717498527561,-1440.6078332144514,23.217234008046994,18.299490197302983,25.28514856958295,38.9005145808058,33.47615671393082,45.23747504949242,63.13904688575652,112.06913015646983,7.0,100.0,30.5
v2,ID04,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID04_20260513_163638,edge,low,BCGF,ok,601,2299.2660344459687,2489.1034382609555,-15.06154468534749,24.21322899192728,14.158356021874527,43.244930941588656,51.54477234017462,36.85169408411954,52.70282145605081,82.11192636844025,309.27344220060104,8.0,99.83361064891847,58.069883527454245
v2,ID05,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID05_20260513_163117,edge,mid,BCGF,ok,601,2214.0614537664014,2455.630548580828,-1017.3745663732527,28.64563996019294,16.089621737794356,39.8787399259036,51.66974467202412,42.071613552061656,59.08220314275345,87.47770388126156,185.7959214329907,7.0,100.0,26.622296173044923
v2,ID06,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID06_20260513_154321,edge,high,BCGF,ok,600,2040.2279151332502,2481.0500526426836,-1449.2243764833413,21.346310873180556,14.10645980813491,19.839997558907026,32.37719412411194,28.34384822024321,38.252211017196394,54.5692725878285,78.34468513579385,7.0,99.83333333333333,35.66666666666667
v2,ID07,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID07_20260513_164048,edge,low,CDHG,ok,600,678.4593533832146,2580.492469542464,131.55340518988658,27.181614431923123,18.11375822199587,64.46281557141039,72.26619535747211,54.533695716024326,80.93295546265199,133.56311515838027,210.687684768942,7.0,100.0,14.833333333333334
v2,ID08,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID08_20260513_162857,edge,mid,CDHG,ok,601,1717.5189049622036,3662.219453151457,-859.8923722091151,40.39066798566893,29.135452959935698,67.47506219747376,83.86396543249144,58.887755871834926,83.2815996079215,145.2088020336255,651.8198244334807,7.0,99.83361064891847,19.467554076539102
v2,ID09,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID09_20260513_154629,edge,high,CDHG,ok,601,1616.538782002138,3435.6172480459813,-1424.3443401804764,40.733008930645795,21.59945332169556,54.95266764461449,71.73221090695334,58.04714312457704,80.05048353985177,125.60558275623886,191.05676654208654,7.0,100.0,35.44093178036606
v2,ID10,,edge,low,ADHE,missing,,,,,,,,,,,,,,,
