node,uwb_records,uwb_sweep_gaps,uwb_max_master_gap_ms,uwb_incomplete_fields
BSF3C79,1014,0,250,0
BSFC2CC,1016,509,61199,0
BSF44AD,1015,509,61200,0
BSF6C53,1016,508,61149,0
BSF8BC4,1015,509,61200,0
BSF1120,1016,509,61198,0
BSF31CC,1015,510,61349,0
BSFAA61,1015,510,61299,0
BSFB165,1014,510,61350,0
BSFEC35,1015,509,61199,0
