experiment_id,deployability,description,capture_id,tag,n_samples,availability_fraction,effective_update_rate_hz,err3d_p50_mm,err3d_p95_mm,err3d_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p95_mm,err_vertical_y_p50_mm,err_vertical_y_p95_mm,max_gap_s,imu_only_endpoint_drift_3d_mm,imu_only_endpoint_drift_xz_mm,imu_only_drift_rate_3d_mm_s,turn_center_abs_error_3d_mm,turn_center_abs_error_xz_mm,turn_center_abs_error_y_mm,fused_radius_mm,opti_radius_mm,nominal_radius_mm,radius_error_mm,radius_error_abs_mm,circle_thickness_rms_mm,circle_thickness_p95_mm,A,L,I,T,P,U,stress_id,seed_id,kind,uwb_update_accept_rate,uwb_innovation_nis_median,uwb_innovation_nis_p95,filter_divergence_count
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,R01,BS2DCE,1201,1.0,9.670244657189972,4213.686376730637,17415.614585188938,8368.552681382205,2474.9107236467644,9591.683087304937,3410.2741519449155,14536.273488502962,0.2472799999999893,19551.124406053914,10766.95663936667,162.97637196959874,6597.516600145779,5651.503095007107,3404.0766819101195,5056.748246920296,426.45493419491004,440.0,4630.2933127253855,4630.2933127253855,841.2000734537066,1587.6871580349352,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only,,,,
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,R01,BSDC91,1200,1.0,9.75562167699062,3360.2147854674567,14413.309979911386,6939.9797200380435,2790.7958535833377,11593.727829795533,1871.4971548822339,8563.234139783626,0.229810999999998,16085.371668167383,12811.840638166559,134.12613934785503,8337.159556579332,8122.771752057173,1878.5123198542342,7721.012928034673,553.4977558404732,560.0,7167.515172194199,7167.515172194199,760.4758935056108,1443.5909084690343,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only,,,,
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,R02,BS2DCE,1201,1.0,10.185685038246906,1173.8820657494164,4856.329031642546,2290.315207102773,1173.4463864447766,4849.295940993264,38.77679522634821,261.26718171346056,0.2527329999999921,5587.42574674235,5578.55050819806,46.56534374420483,2374.7624277071955,2373.6168636491893,73.75345856268677,1730.0495845308694,411.38212265509225,440.0,1318.6674618757772,1318.6674618757772,769.6820513479965,1424.5345548967573,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only,,,,
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,R02,BSDC91,1200,1.0,9.564252649297773,4875.007692489009,21104.500671179554,10176.232510342104,4201.181144257763,17580.513970423846,2473.0095855095515,11675.85016217125,0.21061200000000468,23514.324642525207,19526.254899652795,196.10171978287775,20222.509830319148,20069.522336097227,2482.776074930846,19545.99030824673,533.9870329923971,560.0,19012.003275254334,19012.003275254334,619.3123854981907,1127.5073698710619,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only,,,,
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,R03,BS2DCE,1050,1.0,9.709869110964398,2925.9975186049614,9030.804531751926,4602.977804441395,2901.0799237115675,9030.591951427898,246.93739763802262,439.561433228086,0.21259900000000087,9971.710964505603,9968.411205078535,95.05614289393893,5662.526355648903,5657.687357588553,234.04805532432874,4775.122804341345,410.241275797954,440.0,4364.881528543391,4364.881528543391,777.3403281928568,1338.285742892931,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only,,,,
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,R03,BSDC91,1200,1.0,9.619824534400529,3605.75698019601,12731.93591539492,6279.520573816686,2299.0916595192157,9683.377566633313,2777.7077948658825,8266.461654711187,0.22298299999999927,14250.196756132354,11120.299874991786,118.84632053646368,6702.432919557133,6088.797957149075,2801.6328235834885,6218.94919699613,532.4057597268549,560.0,5686.543437269275,5686.543437269275,507.35678839393734,984.1211832284874,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only,,,,
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,R04,BS2DCE,1200,1.0,9.648877353119858,3382.3826840950255,16152.354412500585,7515.331424841468,3153.102968656516,11334.587587052514,1224.1114570727477,11507.635475486553,0.22420100000000076,18372.922011322626,12555.87550550852,153.24104400024717,11448.932080209082,11382.754350637613,1229.2067239814253,11027.187096153491,410.89796258200374,440.0,10616.289133571488,10616.289133571488,419.7999462651521,755.7090196364959,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only,,,,
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,R04,BSDC91,1200,1.0,10.10243872870947,4478.526842360353,10661.282454448476,5903.784604557257,4422.540984076075,10584.197450018928,516.0127402986602,1279.728268204991,0.2215089999999975,11533.832672426413,11353.390244649896,96.19914670291126,7429.184463042038,7420.573372698055,357.5927939847543,6683.356484332183,533.4026523194126,560.0,6149.95383201277,6149.95383201277,696.8122278393835,1246.1402994095076,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only,,,,
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,R05,BS2DCE,1200,1.0,9.883473843386287,5461.689888880834,18504.76165121932,9271.112459382186,5149.262809583399,18331.19882835703,1820.7548256219086,2739.714322176835,0.24221000000000004,20474.227944733495,20339.081937576935,170.7589158049945,21821.89174810941,21746.820903754007,1808.5187436831568,21196.812617523552,412.072896874072,440.0,20784.73972064948,20784.73972064948,661.9534697342287,1197.2501396099997,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only,,,,
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,R05,BSDC91,1201,1.0,10.079629069650302,5526.4563044511715,16553.417726084637,8614.162646326527,2402.3816390054553,11631.688671621252,4976.975160233127,11777.922442465431,0.20794599999999974,18021.92255651306,12965.589873390145,150.18676303844592,7499.024876266373,5658.627915691241,4920.904815846543,4728.783797281512,534.7991719953401,560.0,4193.984625286173,4193.984625286173,1465.3567335365335,2775.470912377874,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only,,,,
