experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,L,I,T,P,U,stress_id,seed_id,kind
X_A0_L2_I5_T11__ST0_nominal__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST0_nominal/S00.,34,17,40661,3808.790094116468,14269.603700410615,17222.201337195373,8041.718822434561,40661,2667.0287243048956,10822.921878018999,13664.642001694045,6121.391759939144,40661,1737.9295934417887,8693.069064683059,11722.360150040697,5215.151439838296,4346.106609545495,15842.978378121597,7840.3274096981695,11464.157708424023,8239.102134668057,9513.28096334591,9368.273102582989,2297.3606149550396,5483.62549138246,571.1623543374475,1060.1488369851186,17462.72452972293,12683.85807183754,145.66140156603873,nan,nan,nan,nan,nan,17,13755.158330944385,3702.563048079288,23315.013373023085,A0,L2,I5,T11,,,ST0_nominal,S00,imu_only
X_A0_U4_P4_L2_I5_T2,position_prior_screening,Stress ST0_nominal/S00: A0/U4/P4/L2/I5/T2.,34,17,40661,82.75217974146969,146.9306726458832,167.5550704457116,98.51273159847139,40661,58.973662928167265,110.90916174563576,127.92261843944209,72.28852862881787,40661,42.73906295837833,111.32093548319858,138.98145385275836,66.92627970889345,85.11004339863572,147.29248889494679,94.56040598585973,112.15877039235593,101.54147287753057,80.01855501896392,66.36331214448548,27.49523667479491,19.505082285697085,75.36262825301415,125.78405888115401,nan,nan,nan,1.0,0.5267773212382034,1.799617642640228,nan,nan,17,359.62037293040316,33.34409245477639,895.566399157177,A0,L2,I5,T2,P4,U4,ST0_nominal,S00,position_fusion
