gate_id,status,blocking_next_phase,evidence
G11_two_gpu_dynamic_balance,FAIL,False,devices=['cuda:0']; partial_chunks_by_gpu={}; gpu0 max_util=0%; failed=3
G12_cpu_parallel_execution,PASS,True,workers_per_device=6; total_workers=6; timing unavailable
G13_thread_oversubscription_control,REVIEW,False,checked_logs=0; torch_threads_1_in_sample=False; workers_per_device=6
