L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,accuracy_rank,rescue_rank
L16,A0,U4,P4,I5,T2,position_fusion,5,68.97208718918213,114.94037318282658,4.693714435827412,76.08845140604735,80.81059943207674,91.62027640856745,138.8862359430275,23.945862760200917,1.0,116.86176481265113,16.924635602253524,107.82490252379303,348.6700563789349,L16 ICM-45686,X_A0_U4_P4_L16_I5_T2,2,222
L16,A0,U4,P4,I3,T2,position_fusion,5,71.12873376188979,118.43414790325642,2.9821090413298093,77.85477060801655,83.82816348292198,97.70791333320997,138.8862359430275,20.45208803977108,1.0,113.36799009222129,19.73803185451455,109.26534352044773,333.4761377737664,L16 ICM-45686,X_A0_U4_P4_L16_I3_T2,4,264
L16,A0,U4,P4,I6,T2,position_fusion,5,73.00344195974384,121.13491758697322,1.9741231812485118,79.32483668471198,84.67795451450904,95.87705238456006,138.8862359430275,17.751318356054266,1.0,110.66722040850448,17.904060390355916,109.84794104901873,397.6784582250622,L16 ICM-45686,X_A0_U4_P4_L16_I6_T2,9,304
L16,A0,U4,P4,I8,T2,position_fusion,5,71.841634076271,122.93861092622842,3.530026235503604,80.69911016351313,82.31137789218187,96.94901501214193,138.8862359430275,15.947625016799062,1.0,108.86352706924927,18.272308849028907,111.07710772036133,314.3631034932079,L16 ICM-45686,X_A0_U4_P4_L16_I8_T2,13,338
L16,A0,U4,P4,I1,T2,position_fusion,5,72.96302403512982,123.55679027055139,5.816021492695761,81.19843805281093,90.30998509533615,100.292208801681,138.8862359430275,15.329445672476101,1.0,108.24534772492629,20.451136511594097,119.45636858237336,352.99415599383906,L16 ICM-45686,X_A0_U4_P4_L16_I1_T2,14,349
L2,A0,U4,P4,I5,T4,position_fusion,5,75.03066338906274,129.48072359311792,2.146039460801488,83.40243794358602,89.12261198574508,106.38830397198963,138.8862359430275,9.405512349909582,1.0,102.32141440235979,23.246471671648486,112.42451669624731,413.51973106834237,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I5_T4,26,413
L2,A0,U4,P4,I5,T3,position_fusion,5,74.82136208460659,131.1865599203033,2.0109728592184775,83.69326962563949,90.10206150720994,107.48059075396517,138.8862359430275,7.699676022724168,1.0,100.61557807517438,23.426836171111752,113.69557338430066,414.2991674448473,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I5_T3,39,447
L2,A0,U4,P4,I6,T4,position_fusion,5,75.10753047149353,131.53274016845225,2.9576299872875556,86.31419151909833,89.62309965120303,106.20172216627736,138.8862359430275,7.35349577457522,1.0,100.26939782702543,23.375769231812477,112.8607301197462,378.4015685248711,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I6_T4,47,456
L2,A0,U4,P4,I6,T3,position_fusion,5,75.20874563191903,131.82919473605295,2.7023249359565376,85.64652022441635,90.13885258039414,106.49903162226008,138.8862359430275,7.057041206974532,1.0,99.97294325942474,23.51198073085478,114.55392843034372,390.5481875713264,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I6_T3,51,464
L2,A0,U4,P4,I8,T4,position_fusion,5,75.57071587162135,131.964620290615,2.2821884053012247,83.6344721565131,91.13007089634934,108.2786262353541,138.8862359430275,6.9216156524124814,1.0,99.83751770486269,23.478384414093796,114.65296008743174,367.2351503247631,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I8_T4,53,467
L20,A0,U4,P4,I5,T2,position_fusion,5,68.41527837277158,112.11947569066972,2.070138717381489,75.67346898510884,77.20376461784534,92.5702508357009,138.8862359430275,26.766760252357777,1.0,119.68266230480799,16.611810863369577,105.13036154425401,391.33633406760225,L20 Xsens MTi-3,X_A0_U4_P4_L20_I5_T2,1,193
L20,A0,U4,P4,I4,T2,position_fusion,5,70.39354716407212,117.45343389173676,5.194981424578498,77.63291097463656,82.30185546074912,94.63929370283084,138.8862359430275,21.432802051290714,1.0,114.34870410374091,18.82398272746581,109.40338018552163,429.4242462920218,L20 Xsens MTi-3,X_A0_U4_P4_L20_I4_T2,3,251
L20,A0,U4,P4,I2,T2,position_fusion,5,71.64114787719204,118.51190736225672,2.767515006111385,78.98465089250688,81.52167600175741,101.05624776284074,138.8862359430275,20.374328580770783,1.0,113.290230633221,20.04973901541615,112.54315178632439,355.24714678009303,L20 Xsens MTi-3,X_A0_U4_P4_L20_I2_T2,5,265
L20,A0,U4,P4,I8,T2,position_fusion,5,70.62608028029251,118.90427454847297,4.801392429228655,78.6041871045176,82.6519141336038,96.44163818633365,138.8862359430275,19.98196139455452,1.0,112.89786344700474,18.02078796236532,111.5183344891592,395.7522973634867,L20 Xsens MTi-3,X_A0_U4_P4_L20_I8_T2,6,277
L20,A0,U4,P4,I6,T2,position_fusion,5,68.73951382794613,119.50864541971984,2.5708641769744625,77.38494516699063,79.33317917675427,93.88979322869727,138.8862359430275,19.377590523307635,1.0,112.29349257575784,17.551256255272996,106.84344202359992,454.1339902444398,L20 Xsens MTi-3,X_A0_U4_P4_L20_I6_T2,7,284
