L,A,R,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,b0_uwb_p95_mean,b0_delta_p95_mean,b0_improved_seed_fraction,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short
L20,A0,R4,I5,T10,range_fusion,5,291.1087401401901,465.3916788738462,14.28336329513409,319.7491883852814,401.52153490931516,268.0549170540136,231.8021379954777,-233.5895408783685,0.0,107.53948504877917,163.3640883404043,131.7589684620604,L20 Xsens MTi-3,X_A0_R4_L20_I5_T10
L16,A0,R4,I5,T10,range_fusion,5,305.33880933144474,473.638431458499,16.784971581837098,332.00039908986656,430.28628289314156,279.1835261679712,231.8021379954777,-241.83629346302124,0.0,110.57049356318302,164.1451598874089,91.47204910616543,L16 ICM-45686,X_A0_R4_L16_I5_T10
L20,A0,R4,I6,T10,range_fusion,5,316.93845092122996,484.9279862390764,7.406680897191222,340.1212669711319,436.16637918503045,283.25005560432584,231.8021379954777,-253.12584824359874,0.0,113.2652582003687,153.03073172360732,152.87150557255225,L20 Xsens MTi-3,X_A0_R4_L20_I6_T10
L20,A0,R4,I8,T10,range_fusion,5,326.1643727859934,501.19531525067896,22.786782852031436,352.62661132649714,456.02149767123353,287.40452743066163,231.8021379954777,-269.3931772552013,0.0,117.38107464579495,156.48243538017738,161.90630149603538,L20 Xsens MTi-3,X_A0_R4_L20_I8_T10
L16,A0,R4,I6,T10,range_fusion,5,328.7094362937143,510.34512675451396,7.110908173738465,352.70614483901215,452.7979422763453,308.6500184613669,231.8021379954777,-278.54298875903635,0.0,114.12743326103536,162.76596721813297,133.1260352366109,L16 ICM-45686,X_A0_R4_L16_I6_T10
L20,A0,R4,I4,T10,range_fusion,5,337.77637172104875,514.6200885983308,23.656748874081753,356.4042116494395,464.767741506537,300.63828258983347,231.8021379954777,-282.8179506028531,0.0,126.67496145473442,146.1803515577597,170.11799621022095,L20 Xsens MTi-3,X_A0_R4_L20_I4_T10
L20,A0,R3,I5,T10,range_fusion,5,330.82574334538515,517.8689225376202,12.419432527818337,359.7809575034729,454.34829674354313,298.12035103969396,231.8021379954777,-286.06678454214244,0.0,126.93188181890127,149.35110960099126,150.57014813653566,L20 Xsens MTi-3,X_A0_R3_L20_I5_T10
L16,A0,R4,I8,T10,range_fusion,5,332.733894591267,520.2362778648618,15.123525944709815,361.8997280615854,460.264462283929,312.5462166664917,231.8021379954777,-288.4341398693841,0.0,117.48094723536458,158.5791506448987,134.99369202889358,L16 ICM-45686,X_A0_R4_L16_I8_T10
L16,A0,R3,I5,T10,range_fusion,5,340.65094042460953,525.909161288998,13.087607070614087,371.27704213695733,472.78231969342886,307.1062670242514,231.8021379954777,-294.10702329352034,0.0,129.37741563892615,149.06021369696492,162.02973045015523,L16 ICM-45686,X_A0_R3_L16_I5_T10
L20,A0,R2,I5,T10,range_fusion,5,337.6745892918965,528.939968544172,10.95480952081819,368.53775117986163,464.86455686532975,305.0679590210839,231.8021379954777,-297.13783054869435,0.0,131.2103733147882,147.926616301442,149.92073310590507,L20 Xsens MTi-3,X_A0_R2_L20_I5_T10
L16,A0,R2,I5,T10,range_fusion,5,347.9416365908291,537.8296491328906,13.539048539861584,379.4255366576791,484.0178623215949,312.0925559399806,231.8021379954777,-306.02751113741294,0.0,133.64985436443462,149.78367119577155,166.77616523862932,L16 ICM-45686,X_A0_R2_L16_I5_T10
L20,A0,R4,I5,T9,range_fusion,5,341.1519835781239,538.7197152250355,10.859637024206437,374.36786624711795,472.1462907848254,310.22655579460695,231.8021379954777,-306.9175772295578,0.0,128.350452774914,146.07505818257965,181.50204379244505,L20 Xsens MTi-3,X_A0_R4_L20_I5_T9
