capture_id,root,environment_type,condition,capture_role,file_count,layout_count,static_table_count,roto_table_count,wand_table_count,validation_table_count,dop_table_count,residual_table_count,optitrack_file_count,has_layouts,has_tag_capture,has_ground_truth,has_proxy_evaluation,has_dop,has_residual,multipath_usable,no_tag_multipath_usable,label_quality,recommended_use,train_allowed,validation_allowed,evidence,notes
28052026_Erlangen_Official,DATASETS/raw_captures/28052026_Erlangen_Official,indoor_lab,controlled_unspecified,full_process_ground_truth,789,5,48,49,6,6,15,12,422,true,true,true,false,true,true,false,false,real_ground_truth_validation,calibration_validation,false,true,layouts;tag_capture;ground_truth;dop;residual,OptiTrack validation reference capture
28052026_Erlangen_Smoke,DATASETS/raw_captures/28052026_Erlangen_Smoke,indoor_lab,smoke_test,full_process_proxy,85,5,8,9,6,0,0,12,30,true,true,false,true,false,true,false,false,proxy_existing_field_evaluation,ranking_and_proxy_analysis,false,false,layouts;tag_capture;residual,Smoke/full-process proxy capture; not a real error label
Garage_Test,DATASETS/raw_captures/Garage_Test,garage,multipath_possible,full_process_proxy,55,5,8,9,6,0,0,12,0,true,true,false,true,false,true,true,false,proxy_existing_field_evaluation,ranking_and_proxy_analysis,false,false,layouts;tag_capture;residual,Garage proxy capture; usable for ranking and multipath-risk context
Garage_Test_nah,DATASETS/raw_captures/Garage_Test_nah,garage,multipath_possible,raw_capture_only,14,0,0,0,0,0,0,0,13,false,false,false,false,false,false,true,true,multipath_unlabeled_no_tag,multipath_risk_analysis,false,false,no_tag_multipath,No post tag capture; keep as no-tag multipath intake
Garage_test_2,DATASETS/raw_captures/Garage_test_2,garage,multipath_possible,full_process_proxy,105,10,8,9,6,0,0,12,45,true,true,false,true,false,true,true,false,proxy_existing_field_evaluation,ranking_and_proxy_analysis,false,false,layouts;tag_capture;residual,Garage proxy capture; not a real error label
Garage_test_nah_2,DATASETS/raw_captures/Garage_test_nah_2,garage,multipath_possible,full_process_proxy,68,5,8,9,6,0,0,12,13,true,true,false,true,false,true,true,false,proxy_existing_field_evaluation,ranking_and_proxy_analysis,false,false,layouts;tag_capture;residual,Near garage proxy capture; not a real error label
Outdoor_LOS,DATASETS/raw_captures/Outdoor_LOS,outdoor,los,full_process_proxy,113,10,8,9,6,0,0,12,52,true,true,false,true,false,true,false,false,proxy_existing_field_evaluation,ranking_and_proxy_analysis,false,false,layouts;tag_capture;residual,Outdoor LOS proxy capture
Outdoor_LOS_2,DATASETS/raw_captures/Outdoor_LOS_2,outdoor,los,full_process_proxy,127,10,8,9,6,0,0,12,67,true,true,false,true,false,true,false,false,proxy_existing_field_evaluation,ranking_and_proxy_analysis,false,false,layouts;tag_capture;residual,Outdoor LOS proxy capture
Outdoor_LOS_3,DATASETS/raw_captures/Outdoor_LOS_3,outdoor,los,full_process_proxy,102,5,8,9,6,0,0,12,47,true,true,false,true,false,true,false,false,proxy_existing_field_evaluation,ranking_and_proxy_analysis,false,false,layouts;tag_capture;residual,Outdoor LOS proxy capture
outdoor_20260513,DATASETS/raw_captures/outdoor_20260513,outdoor,los,full_process_proxy,911,57,45,43,34,0,0,93,0,true,true,false,true,false,true,false,false,proxy_existing_field_evaluation,ranking_and_proxy_analysis,false,false,layouts;tag_capture;residual,Historical outdoor LOS/proxy evaluation capture
outdoor_v4_20260504,DATASETS/raw_captures/outdoor_v4_20260504,outdoor,los,full_process_proxy,714,5,2,3,0,0,0,2,0,true,true,false,true,false,true,false,false,proxy_existing_field_evaluation,ranking_and_proxy_analysis,false,false,layouts;tag_capture;residual,Historical outdoor LOS/proxy evaluation capture
