capture_id,rel_path,file_name,extension,size_bytes,category,data_role,solver_version,layout_variant,is_optitrack_related,is_generated_analysis,csv_columns,csv_row_count,json_kind,anchor_count,notes
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/DUAL_GPU_MONTE_CARLO.md,DUAL_GPU_MONTE_CARLO.md,.md,2058,report_or_note,human_report,,,False,True,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/dual_gpu_dry_run_manifest_20260529_152258.json,dual_gpu_dry_run_manifest_20260529_152258.json,.json,8884,metadata,metadata,,,False,True,,,metadata,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/dual_gpu_run_manifest.json,dual_gpu_run_manifest.json,.json,8736,metadata,metadata,,,False,True,,,metadata,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/metadata.json,metadata.json,.json,1087,metadata,metadata,,,False,True,,,metadata,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/metadata_shard00_of_02.json,metadata_shard00_of_02.json,.json,3974,metadata,metadata,,,False,True,,,metadata,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/metadata_shard01_of_02.json,metadata_shard01_of_02.json,.json,3935,metadata,metadata,,,False,True,,,metadata,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/metadata_shard39_of_40.json,metadata_shard39_of_40.json,.json,1885,metadata,metadata,,,False,True,,,metadata,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/monitor_until_stop.log,monitor_until_stop.log,.log,20453,log,runtime_log,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/run.log,run.log,.log,74734,log,runtime_log,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/run.pid,run.pid,.pid,8,other,unclassified,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/run_command.txt,run_command.txt,.txt,289,report_or_note,human_report,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/run_dual_gpu_command.txt,run_dual_gpu_command.txt,.txt,249,report_or_note,human_report,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/run_gpu0_block40_v4io_T4_roto.log,run_gpu0_block40_v4io_T4_roto.log,.log,0,log,runtime_log,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/run_gpu0_block40_v4io_T4_roto.pid,run_gpu0_block40_v4io_T4_roto.pid,.pid,7,other,unclassified,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/run_gpu0_shard0_of_2.log,run_gpu0_shard0_of_2.log,.log,34447,log,runtime_log,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/run_gpu0_shard0_of_2.pid,run_gpu0_shard0_of_2.pid,.pid,6,other,unclassified,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/run_gpu1_shard1_of_2.log,run_gpu1_shard1_of_2.log,.log,30788,log,runtime_log,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/run_gpu1_shard1_of_2.pid,run_gpu1_shard1_of_2.pid,.pid,6,other,unclassified,,,False,True,,,,,monte_carlo
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/roto/roto_keepk_cuda_t4.png,roto_keepk_cuda_t4.png,.png,92197,figure,human_report,v1-old,,False,True,,,,,monte_carlo;keepk
