capture_id,environment_type,condition,has_tag_capture,has_ground_truth,label_quality,recommended_use,notes
28052026_Erlangen_Official,indoor_lab,controlled_unspecified,,true,,,OptiTrack validation reference capture
28052026_Erlangen_Smoke,indoor_lab,smoke_test,,false,,,Smoke/full-process proxy capture; not a real error label
Garage_Test,garage,multipath_possible,,false,,,Garage proxy capture; usable for ranking and multipath-risk context
Garage_Test_nah,garage,multipath_possible,false,false,,,No post tag capture; keep as no-tag multipath intake
Garage_test_2,garage,multipath_possible,,false,,,Garage proxy capture; not a real error label
Garage_test_nah_2,garage,multipath_possible,,false,,,Near garage proxy capture; not a real error label
Outdoor_LOS,outdoor,los,,false,,,Outdoor LOS proxy capture
Outdoor_LOS_2,outdoor,los,,false,,,Outdoor LOS proxy capture
Outdoor_LOS_3,outdoor,los,,false,,,Outdoor LOS proxy capture
outdoor_20260513,outdoor,los,,false,,,Historical outdoor LOS/proxy evaluation capture
outdoor_v4_20260504,outdoor,los,,false,,,Historical outdoor LOS/proxy evaluation capture
